System	SystemCode	MOD_status
Xenopus_Jamboree	Xj	
modCB	Mg	
MIM	Mi	
sharesCDS	Sc	
Illumina	Il	
CAS	Ca	
RFAM	Rf	
TubercuList	Tb	
Kyotograil	Ky	
Ens_Tg_translation	Ens	
Vega_transcript	Vr	
XenTro	Xen	
goslim_goa	gos	
wormpep_id	Wp	
CCDS	Cc	
RefSeq	Q	
EPD	Epd	
ENST	Enst	
miRBase	Mb	
TakRub	Tak	
Symbol	Sy	
WikiGene	Wg	
Agilent	Ag	
Genoscope_pred_gene	Gen	
TetNig	Tet	
GPCR	Gpcr	
Vega	Vg	
CioInt	Cio	
HMDB	Ch	MOD
Osford_FGU	Of	
FlyBase	F	
SGD	D	
Fantom	Fa	
FlyGrid	Fg	
KeggCompound	Ck	
Vega_translation	Vt	
EMBL	Em	
DBASS3	Dba	
Affymetrix	X	
MiscArray	Ma	
ProteinID	Pi	
GadFly	Gf	
BDGP_insitu_expr	Bd	
Platypus_olfactory_receptor	Pr	
Cint	Cj	
PUBMED	Pu	
Uniprot	S	
Ensembl	En	MOD
Zfin	Z	
HPA	Hpa	
CloneID	Clb	
ChEBI	Ce	
PDB	Pd	
UniGene	Ug	
IMGT	Im	
Tgut_symbol	Ts	
Codelink	Co	
MGI	M	
IPI	Ip	
MEROPS	Merops	
PubChem	Cp	
AffyExon	Ae	MOD
EntrezGene	L	MOD
TransFac	Transfac	
AffyExonXenTro	Xen	
UCSC	Ucsc	
Sanger	Sh	
DEDb	De	
OTT	Ot	
Wormbase	Wb	
HGNC	Hg	
