EntrezGene ID	GO ID
1	GO:0003674
1	GO:0005576
1	GO:0008150
2	GO:0001869
2	GO:0002576
2	GO:0004867
2	GO:0005096
2	GO:0005515
2	GO:0005576
2	GO:0005576
2	GO:0005615
2	GO:0005829
2	GO:0006953
2	GO:0007264
2	GO:0007584
2	GO:0007596
2	GO:0007597
2	GO:0010037
2	GO:0019838
2	GO:0019899
2	GO:0019959
2	GO:0019966
2	GO:0030168
2	GO:0031093
2	GO:0043120
2	GO:0051056
2	GO:0051384
9	GO:0004060
9	GO:0005737
9	GO:0005829
9	GO:0005829
9	GO:0006805
9	GO:0008152
9	GO:0016407
9	GO:0016740
10	GO:0004060
10	GO:0005737
10	GO:0005829
10	GO:0005829
10	GO:0006805
10	GO:0008152
10	GO:0016407
10	GO:0016740
12	GO:0003677
12	GO:0004867
12	GO:0004867
12	GO:0005515
12	GO:0005576
12	GO:0005576
12	GO:0005622
12	GO:0005634
12	GO:0006953
12	GO:0006954
12	GO:0010951
12	GO:0019216
12	GO:0030162
12	GO:0030277
12	GO:0030414
13	GO:0003824
13	GO:0004806
13	GO:0005783
13	GO:0005789
13	GO:0005792
13	GO:0008152
13	GO:0010898
13	GO:0016020
13	GO:0016021
13	GO:0016298
13	GO:0017171
13	GO:0019213
14	GO:0001525
14	GO:0005737
14	GO:0005886
14	GO:0007275
14	GO:0008201
14	GO:0009986
14	GO:0010595
14	GO:0014909
14	GO:0030154
15	GO:0004059
15	GO:0004060
15	GO:0005737
15	GO:0005829
15	GO:0007623
15	GO:0008152
15	GO:0008415
15	GO:0009416
15	GO:0010043
15	GO:0014070
15	GO:0016740
15	GO:0030187
15	GO:0032868
15	GO:0034097
15	GO:0034641
15	GO:0034695
15	GO:0042446
15	GO:0046688
15	GO:0051412
15	GO:0051591
15	GO:0051592
16	GO:0000049
16	GO:0000166
16	GO:0001942
16	GO:0002161
16	GO:0004813
16	GO:0005524
16	GO:0005625
16	GO:0005737
16	GO:0005829
16	GO:0006400
16	GO:0006418
16	GO:0006419
16	GO:0006457
16	GO:0008033
16	GO:0010467
16	GO:0016597
16	GO:0016874
16	GO:0021680
