ID	SystemCode	MAPP
1269	L	Small Ligand GPCRs:WP247
1268	L	Small Ligand GPCRs:WP247
9294	L	Small Ligand GPCRs:WP247
5734	L	Small Ligand GPCRs:WP247
1902	L	Small Ligand GPCRs:WP247
5724	L	Small Ligand GPCRs:WP247
1903	L	Small Ligand GPCRs:WP247
6915	L	Small Ligand GPCRs:WP247
5737	L	Small Ligand GPCRs:WP247
5729	L	Small Ligand GPCRs:WP247
5731	L	Small Ligand GPCRs:WP247
8698	L	Small Ligand GPCRs:WP247
5733	L	Small Ligand GPCRs:WP247
5732	L	Small Ligand GPCRs:WP247
4543	L	Small Ligand GPCRs:WP247
5739	L	Small Ligand GPCRs:WP247
4544	L	Small Ligand GPCRs:WP247
1901	L	Small Ligand GPCRs:WP247
216	L	Tryptophan metabolism:WP465
217	L	Tryptophan metabolism:WP465
2639	L	Tryptophan metabolism:WP465
66002	L	Tryptophan metabolism:WP465
316	L	Tryptophan metabolism:WP465
3276	L	Tryptophan metabolism:WP465
26	L	Tryptophan metabolism:WP465
64320	L	Tryptophan metabolism:WP465
1892	L	Tryptophan metabolism:WP465
23498	L	Tryptophan metabolism:WP465
1544	L	Tryptophan metabolism:WP465
8942	L	Tryptophan metabolism:WP465
51366	L	Tryptophan metabolism:WP465
7453	L	Tryptophan metabolism:WP465
3028	L	Tryptophan metabolism:WP465
1718	L	Tryptophan metabolism:WP465
4967	L	Tryptophan metabolism:WP465
9420	L	Tryptophan metabolism:WP465
1562	L	Tryptophan metabolism:WP465
847	L	Tryptophan metabolism:WP465
6999	L	Tryptophan metabolism:WP465
11185	L	Tryptophan metabolism:WP465
3620	L	Tryptophan metabolism:WP465
4129	L	Tryptophan metabolism:WP465
4193	L	Tryptophan metabolism:WP465
1545	L	Tryptophan metabolism:WP465
125061	L	Tryptophan metabolism:WP465
224	L	Tryptophan metabolism:WP465
223	L	Tryptophan metabolism:WP465
1543	L	Tryptophan metabolism:WP465
7337	L	Tryptophan metabolism:WP465
1644	L	Tryptophan metabolism:WP465
1553	L	Tryptophan metabolism:WP465
38	L	Tryptophan metabolism:WP465
15	L	Tryptophan metabolism:WP465
130013	L	Tryptophan metabolism:WP465
51166	L	Tryptophan metabolism:WP465
1588	L	Tryptophan metabolism:WP465
7166	L	Tryptophan metabolism:WP465
3033	L	Tryptophan metabolism:WP465
438	L	Tryptophan metabolism:WP465
1573	L	Tryptophan metabolism:WP465
1572	L	Tryptophan metabolism:WP465
1571	L	Tryptophan metabolism:WP465
1576	L	Tryptophan metabolism:WP465
8854	L	Tryptophan metabolism:WP465
216	L	Fatty Acid Omega Oxidation:WP206
217	L	Fatty Acid Omega Oxidation:WP206
1544	L	Fatty Acid Omega Oxidation:WP206
1543	L	Fatty Acid Omega Oxidation:WP206
1579	L	Fatty Acid Omega Oxidation:WP206
1548	L	Fatty Acid Omega Oxidation:WP206
1565	L	Fatty Acid Omega Oxidation:WP206
131	L	Fatty Acid Omega Oxidation:WP206
130	L	Fatty Acid Omega Oxidation:WP206
124	L	Fatty Acid Omega Oxidation:WP206
125	L	Fatty Acid Omega Oxidation:WP206
126	L	Fatty Acid Omega Oxidation:WP206
127	L	Fatty Acid Omega Oxidation:WP206
1571	L	Fatty Acid Omega Oxidation:WP206
1576	L	Fatty Acid Omega Oxidation:WP206
3717	L	IL-5 Signaling Pathway:WP127
3716	L	IL-5 Signaling Pathway:WP127
6850	L	IL-5 Signaling Pathway:WP127
896	L	IL-5 Signaling Pathway:WP127
5296	L	IL-5 Signaling Pathway:WP127
5294	L	IL-5 Signaling Pathway:WP127
5295	L	IL-5 Signaling Pathway:WP127
5292	L	IL-5 Signaling Pathway:WP127
1785	L	IL-5 Signaling Pathway:WP127
6659	L	IL-5 Signaling Pathway:WP127
5605	L	IL-5 Signaling Pathway:WP127
6386	L	IL-5 Signaling Pathway:WP127
5601	L	IL-5 Signaling Pathway:WP127
867	L	IL-5 Signaling Pathway:WP127
1499	L	IL-5 Signaling Pathway:WP127
1439	L	IL-5 Signaling Pathway:WP127
2309	L	IL-5 Signaling Pathway:WP127
3385	L	IL-5 Signaling Pathway:WP127
4067	L	IL-5 Signaling Pathway:WP127
5580	L	IL-5 Signaling Pathway:WP127
2885	L	IL-5 Signaling Pathway:WP127
2889	L	IL-5 Signaling Pathway:WP127
4792	L	IL-5 Signaling Pathway:WP127
5894	L	IL-5 Signaling Pathway:WP127
3567	L	IL-5 Signaling Pathway:WP127
25759	L	IL-5 Signaling Pathway:WP127
5781	L	IL-5 Signaling Pathway:WP127
1399	L	IL-5 Signaling Pathway:WP127
8651	L	IL-5 Signaling Pathway:WP127
7534	L	IL-5 Signaling Pathway:WP127
5909	L	IL-5 Signaling Pathway:WP127
10603	L	IL-5 Signaling Pathway:WP127
207	L	IL-5 Signaling Pathway:WP127
581	L	IL-5 Signaling Pathway:WP127
2932	L	IL-5 Signaling Pathway:WP127
1027	L	IL-5 Signaling Pathway:WP127
2931	L	IL-5 Signaling Pathway:WP127
7409	L	IL-5 Signaling Pathway:WP127
241	L	IL-5 Signaling Pathway:WP127
240	L	IL-5 Signaling Pathway:WP127
