ID	SystemCode	MAPP
HMDB00097	Ch	Biogenic Amine Synthesis:WP550
HMDB00181	Ch	Biogenic Amine Synthesis:WP550
HMDB00472	Ch	Biogenic Amine Synthesis:WP550
HMDB00216	Ch	Biogenic Amine Synthesis:WP550
HMDB00895	Ch	Biogenic Amine Synthesis:WP550
HMDB00929	Ch	Biogenic Amine Synthesis:WP550
HMDB00870	Ch	Biogenic Amine Synthesis:WP550
HMDB01389	Ch	Biogenic Amine Synthesis:WP550
HMDB00259	Ch	Biogenic Amine Synthesis:WP550
HMDB00068	Ch	Biogenic Amine Synthesis:WP550
HMDB00073	Ch	Biogenic Amine Synthesis:WP550
HMDB00112	Ch	Biogenic Amine Synthesis:WP550
HMDB01238	Ch	Biogenic Amine Synthesis:WP550
HMDB00148	Ch	Biogenic Amine Synthesis:WP550
HMDB00158	Ch	Biogenic Amine Synthesis:WP550
HMDB00159	Ch	Biogenic Amine Synthesis:WP550
HMDB01056	Ch	Folate Metabolism:SMP00053
HMDB01534	Ch	Folate Metabolism:SMP00053
HMDB01396	Ch	Folate Metabolism:SMP00053
HMDB00972	Ch	Folate Metabolism:SMP00053
HMDB01354	Ch	Folate Metabolism:SMP00053
HMDB01533	Ch	Folate Metabolism:SMP00053
HMDB06825	Ch	Folate Metabolism:SMP00053
HMDB06826	Ch	Folate Metabolism:SMP00053
HMDB01562	Ch	Folate Metabolism:SMP00053
HMDB00142	Ch	Folate Metabolism:SMP00053
HMDB00121	Ch	Folate Metabolism:SMP00053
HMDB01341	Ch	Histidine Metabolism:SMP00044
HMDB01534	Ch	Histidine Metabolism:SMP00044
HMDB02024	Ch	Histidine Metabolism:SMP00044
HMDB03905	Ch	Histidine Metabolism:SMP00044
HMDB00854	Ch	Histidine Metabolism:SMP00044
HMDB02820	Ch	Histidine Metabolism:SMP00044
HMDB03125	Ch	Histidine Metabolism:SMP00044
HMDB00301	Ch	Histidine Metabolism:SMP00044
HMDB00177	Ch	Histidine Metabolism:SMP00044
HMDB01014	Ch	Histidine Metabolism:SMP00044
HMDB00870	Ch	Histidine Metabolism:SMP00044
HMDB01846	Ch	Histidine Metabolism:SMP00044
HMDB00001	Ch	Histidine Metabolism:SMP00044
HMDB00898	Ch	Histidine Metabolism:SMP00044
HMDB01967	Ch	Histidine Metabolism:SMP00044
HMDB00221	Ch	Histidine Metabolism:SMP00044
HMDB00033	Ch	Histidine Metabolism:SMP00044
HMDB04181	Ch	Histidine Metabolism:SMP00044
HMDB01270	Ch	Glycerol Phosphate Shuttle:SMP00124
HMDB01248	Ch	Glycerol Phosphate Shuttle:SMP00124
HMDB01197	Ch	Glycerol Phosphate Shuttle:SMP00124
HMDB01473	Ch	Glycerol Phosphate Shuttle:SMP00124
HMDB01487	Ch	Glycerol Phosphate Shuttle:SMP00124
HMDB01112	Ch	Glycerol Phosphate Shuttle:SMP00124
HMDB00902	Ch	Glycerol Phosphate Shuttle:SMP00124
HMDB00126	Ch	Glycerol Phosphate Shuttle:SMP00124
HMDB01270	Ch	Oxidative phosphorylation:map00190
HMDB00254	Ch	Oxidative phosphorylation:map00190
HMDB01072	Ch	Oxidative phosphorylation:map00190
HMDB01060	Ch	Oxidative phosphorylation:map00190
HMDB01521	Ch	Biosynthesis of unsaturated fatty acids:map01040
HMDB00201	Ch	Biosynthesis of unsaturated fatty acids:map01040
HMDB06526	Ch	Biosynthesis of unsaturated fatty acids:map01040
HMDB01206	Ch	Biosynthesis of unsaturated fatty acids:map01040
HMDB03571	Ch	Biosynthesis of unsaturated fatty acids:map01040
HMDB02003	Ch	Biosynthesis of unsaturated fatty acids:map01040
HMDB00482	Ch	Biosynthesis of unsaturated fatty acids:map01040
HMDB00535	Ch	Biosynthesis of unsaturated fatty acids:map01040
HMDB00638	Ch	Biosynthesis of unsaturated fatty acids:map01040
HMDB00062	Ch	Biosynthesis of unsaturated fatty acids:map01040
HMDB02356	Ch	Biosynthesis of unsaturated fatty acids:map01040
HMDB06459	Ch	Biosynthesis of unsaturated fatty acids:map01040
HMDB01423	Ch	Biosynthesis of unsaturated fatty acids:map01040
HMDB00511	Ch	Biosynthesis of unsaturated fatty acids:map01040
HMDB01018	Ch	Amino sugar and nucleotide sugar metabolism:map00520
HMDB00935	Ch	Amino sugar and nucleotide sugar metabolism:map00520
HMDB01176	Ch	Amino sugar and nucleotide sugar metabolism:map00520
HMDB01254	Ch	Amino sugar and nucleotide sugar metabolism:map00520
HMDB00263	Ch	Amino sugar and nucleotide sugar metabolism:map00520
HMDB00243	Ch	Amino sugar and nucleotide sugar metabolism:map00520
HMDB00302	Ch	Amino sugar and nucleotide sugar metabolism:map00520
HMDB06268	Ch	Amino sugar and nucleotide sugar metabolism:map00520
HMDB01514	Ch	Amino sugar and nucleotide sugar metabolism:map00520
HMDB00042	Ch	Amino sugar and nucleotide sugar metabolism:map00520
HMDB00143	Ch	Amino sugar and nucleotide sugar metabolism:map00520
