Ensembl ID	CCDS ID
ENSG00000000003	CCDS14470
ENSG00000000005	CCDS14469
ENSG00000000419	CCDS13434
ENSG00000000457	CCDS1286
ENSG00000000457	CCDS1287
ENSG00000000460	CCDS1285
ENSG00000000938	CCDS305
ENSG00000000971	CCDS1385
ENSG00000001036	CCDS5200
ENSG00000001084	CCDS4952
ENSG00000001167	CCDS4849
ENSG00000001167	CCDS4850
ENSG00000001460	CCDS253
ENSG00000001461	CCDS30631
ENSG00000001497	CCDS14381
ENSG00000001561	CCDS34468
ENSG00000001617	CCDS2811
ENSG00000001626	CCDS5773
ENSG00000001629	CCDS47639
ENSG00000001630	CCDS5623
ENSG00000001631	CCDS34679
ENSG00000001631	CCDS5624
ENSG00000002016	CCDS8507
ENSG00000002330	CCDS8065
ENSG00000002549	CCDS3422
ENSG00000002586	CCDS14119
ENSG00000002586	CCDS48071
ENSG00000002587	CCDS3408
ENSG00000002726	CCDS43679
ENSG00000002745	CCDS5780
ENSG00000002745	CCDS5781
ENSG00000002746	CCDS5469
ENSG00000002822	CCDS43539
ENSG00000002834	CCDS11331
ENSG00000002919	CCDS11526
ENSG00000002933	CCDS5909
ENSG00000003056	CCDS8598
ENSG00000003096	CCDS14571
ENSG00000003137	CCDS1919
ENSG00000003147	CCDS34602
ENSG00000003249	CCDS10991
ENSG00000003249	CCDS42223
ENSG00000003393	CCDS42800
ENSG00000003393	CCDS46492
ENSG00000003400	CCDS2338
ENSG00000003400	CCDS2339
ENSG00000003400	CCDS2340
ENSG00000003402	CCDS2337
ENSG00000003402	CCDS46487
ENSG00000003436	CCDS2294
ENSG00000003436	CCDS33349
ENSG00000003509	CCDS1788
ENSG00000003509	CCDS42673
ENSG00000003756	CCDS2810
ENSG00000003987	CCDS34851
ENSG00000003989	CCDS34852
ENSG00000003989	CCDS6002
ENSG00000004059	CCDS34745
ENSG00000004399	CCDS33854
ENSG00000004455	CCDS373
ENSG00000004455	CCDS374
ENSG00000004468	CCDS3417
ENSG00000004478	CCDS8512
ENSG00000004487	CCDS30627
ENSG00000004534	CCDS2809
ENSG00000004660	CCDS11038
ENSG00000004660	CCDS11039
ENSG00000004700	CCDS31756
ENSG00000004766	CCDS43617
ENSG00000004766	CCDS5630
ENSG00000004776	CCDS12475
ENSG00000004777	CCDS12477
ENSG00000004779	CCDS10614
ENSG00000004799	CCDS5643
ENSG00000004809	CCDS5084
ENSG00000004838	CCDS2825
ENSG00000004846	CCDS5371
ENSG00000004848	CCDS14215
ENSG00000004864	CCDS5645
ENSG00000004866	CCDS5769
ENSG00000004866	CCDS5770
ENSG00000004897	CCDS11509
ENSG00000004897	CCDS45720
ENSG00000004939	CCDS11481
ENSG00000004948	CCDS5631
ENSG00000004961	CCDS14139
ENSG00000004975	CCDS11091
ENSG00000005001	CCDS10481
ENSG00000005007	CCDS12386
ENSG00000005020	CCDS5400
ENSG00000005022	CCDS14578
ENSG00000005059	CCDS3683
ENSG00000005073	CCDS5411
ENSG00000005075	CCDS5724
ENSG00000005100	CCDS11072
ENSG00000005102	CCDS11466
ENSG00000005102	CCDS11467
ENSG00000005102	CCDS42343
ENSG00000005108	CCDS47543
ENSG00000005156	CCDS11284
ENSG00000005156	CCDS11285
ENSG00000005175	CCDS8753
ENSG00000005187	CCDS10589
ENSG00000005187	CCDS45435
ENSG00000005189	CCDS10591
ENSG00000005189	CCDS45437
ENSG00000005194	CCDS10781
ENSG00000005238	CCDS6578
ENSG00000005249	CCDS5740
ENSG00000005302	CCDS14147
ENSG00000005302	CCDS14148
ENSG00000005302	CCDS14149
ENSG00000005339	CCDS10509
ENSG00000005339	CCDS45399
ENSG00000005379	CCDS11605
ENSG00000005379	CCDS45742
ENSG00000005381	CCDS11604
ENSG00000005421	CCDS5638
ENSG00000005436	CCDS1961
ENSG00000005448	CCDS1940
ENSG00000005469	CCDS47634
ENSG00000005469	CCDS5604
ENSG00000005471	CCDS5605
ENSG00000005471	CCDS5606
ENSG00000005471	CCDS5607
ENSG00000005483	CCDS34723
ENSG00000005486	CCDS43602
ENSG00000005486	CCDS43603
ENSG00000005513	CCDS10428
ENSG00000005700	CCDS34490
ENSG00000005801	CCDS41604
ENSG00000005801	CCDS44521
ENSG00000005801	CCDS44522
ENSG00000005810	CCDS31994
ENSG00000005812	CCDS9457
ENSG00000005844	CCDS32433
ENSG00000005844	CCDS45461
ENSG00000005882	CCDS11559
ENSG00000005884	CCDS11557
ENSG00000005884	CCDS11558
ENSG00000005889	CCDS14211
ENSG00000005893	CCDS14599
ENSG00000005893	CCDS14600
ENSG00000005893	CCDS48159
ENSG00000005955	CCDS11314
ENSG00000005961	CCDS32665
ENSG00000005981	CCDS5641
ENSG00000005981	CCDS5642
ENSG00000006007	CCDS10578
ENSG00000006015	CCDS42524
ENSG00000006015	CCDS46019
ENSG00000006016	CCDS32962
ENSG00000006025	CCDS11515
ENSG00000006042	CCDS11274
ENSG00000006047	CCDS11098
ENSG00000006059	CCDS11388
ENSG00000006071	CCDS31437
ENSG00000006074	CCDS11306
ENSG00000006075	CCDS11307
ENSG00000006114	CCDS11321
ENSG00000006114	CCDS11322
ENSG00000006116	CCDS10620
ENSG00000006118	CCDS44618
ENSG00000006118	CCDS7997
ENSG00000006125	CCDS32621
ENSG00000006125	CCDS32622
ENSG00000006128	CCDS5649
ENSG00000006128	CCDS5650
ENSG00000006128	CCDS5651
ENSG00000006194	CCDS10499
ENSG00000006210	CCDS10779
ENSG00000006282	CCDS11571
ENSG00000006283	CCDS45730
ENSG00000006283	CCDS45731
ENSG00000006283	CCDS45732
ENSG00000006283	CCDS45733
ENSG00000006283	CCDS45734
ENSG00000006283	CCDS45735
ENSG00000006283	CCDS45736
ENSG00000006283	CCDS45737
ENSG00000006283	CCDS45738
ENSG00000006327	CCDS10489
ENSG00000006377	CCDS47647
ENSG00000006432	CCDS32112
ENSG00000006451	CCDS5460
ENSG00000006453	CCDS34687
ENSG00000006459	CCDS43658
ENSG00000006530	CCDS5865
ENSG00000006555	CCDS44152
ENSG00000006555	CCDS598
ENSG00000006576	CCDS47621
ENSG00000006576	CCDS47622
ENSG00000006576	CCDS47623
ENSG00000006576	CCDS47624
ENSG00000006606	CCDS5578
ENSG00000006607	CCDS33424
ENSG00000006611	CCDS31438
ENSG00000006611	CCDS7825
ENSG00000006625	CCDS5428
ENSG00000006634	CCDS5611
ENSG00000006638	CCDS42467
ENSG00000006652	CCDS34736
ENSG00000006659	CCDS12542
ENSG00000006659	CCDS46073
ENSG00000006695	CCDS11166
ENSG00000006704	CCDS47613
ENSG00000006704	CCDS5571
ENSG00000006712	CCDS12533
ENSG00000006715	CCDS5457
ENSG00000006715	CCDS5458
ENSG00000006740	CCDS45616
ENSG00000006744	CCDS11164
ENSG00000006747	CCDS47545
ENSG00000006747	CCDS47546
ENSG00000006756	CCDS35196
ENSG00000006756	CCDS35197
ENSG00000006757	CCDS14129
ENSG00000006788	CCDS45613
ENSG00000006831	CCDS8511
ENSG00000006837	CCDS47264
ENSG00000006837	CCDS47265
ENSG00000007001	CCDS2207
ENSG00000007001	CCDS46435
ENSG00000007038	CCDS10478
ENSG00000007038	CCDS45388
ENSG00000007038	CCDS45389
ENSG00000007047	CCDS12658
ENSG00000007062	CCDS47029
ENSG00000007080	CCDS12369
ENSG00000007129	CCDS46086
ENSG00000007129	CCDS46087
ENSG00000007168	CCDS32528
ENSG00000007171	CCDS11223
ENSG00000007174	CCDS11160
ENSG00000007174	CCDS11161
ENSG00000007202	CCDS32595
ENSG00000007216	CCDS11231
ENSG00000007237	CCDS11152
ENSG00000007237	CCDS42263
ENSG00000007237	CCDS45611
ENSG00000007255	CCDS12655
ENSG00000007264	CCDS12113
ENSG00000007264	CCDS12114
ENSG00000007264	CCDS42468
ENSG00000007306	CCDS12583
ENSG00000007312	CCDS11655
ENSG00000007312	CCDS11656
ENSG00000007312	CCDS42372
ENSG00000007314	CCDS45761
ENSG00000007341	CCDS848
ENSG00000007341	CCDS849
ENSG00000007341	CCDS850
ENSG00000007341	CCDS852
ENSG00000007350	CCDS35448
ENSG00000007372	CCDS31451
ENSG00000007372	CCDS31452
ENSG00000007376	CCDS10426
ENSG00000007384	CCDS32344
ENSG00000007392	CCDS10401
ENSG00000007392	CCDS32348
ENSG00000007402	CCDS33763
ENSG00000007516	CCDS10434
ENSG00000007520	CCDS10435
ENSG00000007541	CCDS10411
ENSG00000007541	CCDS10412
ENSG00000007545	CCDS10440
ENSG00000007866	CCDS47414
ENSG00000007908	CCDS1283
ENSG00000007923	CCDS87
ENSG00000007933	CCDS1292
ENSG00000007944	CCDS4536
ENSG00000007952	CCDS14474
ENSG00000007952	CCDS14475
ENSG00000007968	CCDS236
ENSG00000008018	CCDS34577
