Ensembl ID	Clone_based_ensembl_transcript ID
ENSG00000005189	AC004381.6-001
ENSG00000005189	AC004381.6-201
ENSG00000005206	AC004410.1-201
ENSG00000005206	AC004410.1-202
ENSG00000006453	AC093799.1-001
ENSG00000006453	AC093799.1-002
ENSG00000006453	AC093799.1-003
ENSG00000006453	AC093799.1-004
ENSG00000006453	AC093799.1-005
ENSG00000006740	AC005277.1-001
ENSG00000008197	RP3-336H9.2-001
ENSG00000008197	RP3-336H9.2-002
ENSG00000012660	RP3-483K16.1-001
ENSG00000012660	RP3-483K16.1-002
ENSG00000012660	RP3-483K16.1-003
ENSG00000012660	RP3-483K16.1-004
ENSG00000012660	RP3-483K16.1-005
ENSG00000018607	AC097532.4-001
ENSG00000031081	RP11-305I9.2-001
ENSG00000031081	RP11-305I9.2-002
ENSG00000056678	CR759793.1-001
ENSG00000056678	CR759793.1-002
ENSG00000064489	AC002126.6-001
ENSG00000064489	AC002126.6-002
ENSG00000069122	RP3-365O12.1-001
ENSG00000069122	RP3-365O12.1-002
ENSG00000069122	RP3-365O12.1-003
ENSG00000073169	RP3-402G11.5-001
ENSG00000073169	RP3-402G11.5-002
ENSG00000078328	AC005774.2-001
ENSG00000078328	AC005774.2-002
ENSG00000080947	RP4-798A10.6-001
ENSG00000083622	AC000111.6-001
ENSG00000088899	RP5-1187M17.10-001
ENSG00000088899	RP5-1187M17.10-002
ENSG00000088899	RP5-1187M17.10-201
ENSG00000089336	AC002115.6-002
ENSG00000089336	AC002115.6-003
ENSG00000089336	AC002115.6-004
ENSG00000091073	AC005522.1-001
ENSG00000091073	AC005522.1-002
ENSG00000091073	AC005522.1-003
ENSG00000091073	AC005522.1-004
ENSG00000091073	AC005522.1-005
ENSG00000091073	AC005522.1-006
ENSG00000091073	AC005522.1-007
ENSG00000091073	AC005522.1-008
ENSG00000091073	AC005522.1-009
ENSG00000091073	AC005522.1-010
ENSG00000091073	AC005522.1-011
ENSG00000091073	AC005522.1-012
ENSG00000091073	AC005522.1-013
ENSG00000091073	AC005522.1-014
ENSG00000091073	AC005522.1-015
ENSG00000091073	AC005522.1-016
ENSG00000091073	AC005522.1-017
ENSG00000091073	AC005522.1-018
ENSG00000091073	AC005522.1-019
ENSG00000091073	AC005522.1-021
ENSG00000091073	AC005522.1-022
ENSG00000091073	AC005522.1-023
ENSG00000091073	AC005522.1-024
ENSG00000091073	AC005522.1-025
ENSG00000091073	AC005522.1-201
ENSG00000091073	AC005522.1-202
ENSG00000091436	AC013461.1-001
ENSG00000091436	AC013461.1-002
ENSG00000091436	AC013461.1-003
ENSG00000091436	AC013461.1-004
ENSG00000091436	AC013461.1-005
ENSG00000091436	AC013461.1-006
ENSG00000091436	AC013461.1-007
ENSG00000091436	AC013461.1-201
ENSG00000091436	AC013461.1-202
ENSG00000091490	RP11-302F12.9-001
ENSG00000091490	RP11-302F12.9-002
ENSG00000091490	RP11-302F12.9-003
ENSG00000091490	RP11-302F12.9-005
ENSG00000091490	RP11-302F12.9-006
ENSG00000091490	RP11-302F12.9-007
ENSG00000091490	RP11-302F12.9-008
ENSG00000091490	RP11-302F12.9-009
ENSG00000091490	RP11-302F12.9-010
ENSG00000091490	RP11-302F12.9-011
ENSG00000091490	RP11-302F12.9-012
ENSG00000091490	RP11-302F12.9-013
ENSG00000091490	RP11-302F12.9-014
ENSG00000093100	XXbac-B461K10.4-001
ENSG00000093100	XXbac-B461K10.4-002
ENSG00000093100	XXbac-B461K10.4-003
ENSG00000093100	XXbac-B461K10.4-201
ENSG00000093100	XXbac-B461K10.4-202
ENSG00000096150	AL844527.1-001
ENSG00000096150	AL844527.1-002
ENSG00000096150	AL844527.1-003
ENSG00000096150	AL844527.1-004
ENSG00000096150	AL844527.1-005
ENSG00000096150	AL844527.1-006
ENSG00000096150	AL844527.1-007
ENSG00000096150	AL844527.1-008
ENSG00000096155	AL805934.1-001
ENSG00000096155	AL805934.1-002
ENSG00000096155	AL805934.1-003
ENSG00000096155	AL805934.1-004
ENSG00000096155	AL805934.1-005
ENSG00000096155	AL805934.1-006
ENSG00000096155	AL805934.1-007
ENSG00000096155	AL805934.1-008
ENSG00000096155	AL805934.1-009
ENSG00000096155	AL805934.1-010
ENSG00000096155	AL805934.1-011
ENSG00000096155	AL805934.1-012
ENSG00000096155	AL805934.1-013
ENSG00000096155	AL805934.1-014
ENSG00000096155	AL805934.1-015
ENSG00000096155	AL805934.1-016
ENSG00000096155	AL805934.1-017
ENSG00000096155	AL805934.1-018
ENSG00000096155	AL805934.1-019
ENSG00000096155	AL805934.1-020
ENSG00000096155	AL805934.1-021
ENSG00000096155	AL805934.1-022
ENSG00000096155	AL805934.1-023
ENSG00000096155	AL805934.1-024
ENSG00000096155	AL805934.1-025
ENSG00000096155	AL805934.1-026
ENSG00000096155	AL805934.1-027
ENSG00000096155	AL805934.1-028
ENSG00000096155	AL805934.1-029
ENSG00000096155	AL805934.1-030
ENSG00000096155	AL805934.1-031
ENSG00000096171	CR925765.1-001
ENSG00000096171	CR925765.1-002
ENSG00000096171	CR925765.1-003
ENSG00000096171	CR925765.1-004
ENSG00000096171	CR925765.1-005
ENSG00000096171	CR925765.1-006
ENSG00000096171	CR925765.1-007
ENSG00000096171	CR925765.1-008
ENSG00000096171	CR925765.1-009
ENSG00000096171	CR925765.1-010
ENSG00000096171	CR925765.1-011
ENSG00000096171	CR925765.1-012
ENSG00000096171	CR925765.1-013
ENSG00000096171	CR925765.1-014
ENSG00000099882	AC000036.5-001
ENSG00000100101	RP1-37E16.12-001
ENSG00000100181	AC005301.5-001
ENSG00000100181	AC005301.5-002
ENSG00000100181	AC005301.5-003
ENSG00000100181	AC005301.5-004
ENSG00000100181	AC005301.5-005
ENSG00000100181	AC005301.5-201
ENSG00000100931	AL136419.6-001
ENSG00000100931	AL136419.6-002
ENSG00000101278	AL118502.1-001
ENSG00000101898	RP3-324O17.4-001
ENSG00000103200	RP11-723C11.2-001
ENSG00000103472	AC009093.1-201
ENSG00000103472	AC009093.1-202
ENSG00000103472	AC009093.1-203
ENSG00000103540	AC012621.2-001
ENSG00000103540	AC012621.2-002
ENSG00000103540	AC012621.2-201
ENSG00000103832	RP5-1086D14.1-001
ENSG00000104324	AC010859.1-001
ENSG00000104324	AC010859.1-003
ENSG00000104324	AC010859.1-004
ENSG00000104324	AC010859.1-005
ENSG00000104324	AC010859.1-006
ENSG00000104324	AC010859.1-007
ENSG00000104324	AC010859.1-008
ENSG00000104324	AC010859.1-009
ENSG00000104324	AC010859.1-010
ENSG00000105261	AD001527.1-201
ENSG00000105520	AC024575.1-201
ENSG00000105663	AD000671.1-001
ENSG00000105663	AD000671.1-002
ENSG00000105663	AD000671.1-201
ENSG00000105663	AD000671.1-202
ENSG00000105694	AC104537.1-201
ENSG00000105889	AC099759.1-001
ENSG00000105889	AC099759.1-002
ENSG00000105889	AC099759.1-003
ENSG00000105889	AC099759.1-004
ENSG00000105889	AC099759.1-005
ENSG00000106526	RP5-820A21.1-001
ENSG00000106526	RP5-820A21.1-002
ENSG00000106526	RP5-820A21.1-003
ENSG00000106526	RP5-820A21.1-004
ENSG00000106540	AC004837.3-001
ENSG00000106608	AC004985.9-001
ENSG00000106608	AC004985.9-002
ENSG00000106608	AC004985.9-003
ENSG00000106608	AC004985.9-004
ENSG00000106608	AC004985.9-005
ENSG00000106608	AC004985.9-006
ENSG00000106608	AC004985.9-007
ENSG00000106608	AC004985.9-008
ENSG00000106608	AC004985.9-009
ENSG00000106608	AC004985.9-010
ENSG00000106608	AC004985.9-011
ENSG00000106608	AC004985.9-012
ENSG00000106608	AC004985.9-013
ENSG00000107036	RP11-207C16.5-001
ENSG00000107036	RP11-207C16.5-002
ENSG00000107036	RP11-207C16.5-003
ENSG00000107036	RP11-207C16.5-004
ENSG00000107036	RP11-207C16.5-005
ENSG00000107036	RP11-207C16.5-006
ENSG00000107902	RP11-12J10.1-001
ENSG00000107902	RP11-12J10.1-002
ENSG00000107902	RP11-12J10.1-003
ENSG00000107902	RP11-12J10.1-004
ENSG00000107902	RP11-12J10.1-005
ENSG00000107902	RP11-12J10.1-006
ENSG00000107902	RP11-12J10.1-007
ENSG00000107902	RP11-12J10.1-008
ENSG00000107902	RP11-12J10.1-009
ENSG00000107951	RP11-305E6.3-001
ENSG00000107951	RP11-305E6.3-002
ENSG00000107951	RP11-305E6.3-003
ENSG00000107951	RP11-305E6.3-004
ENSG00000107951	RP11-305E6.3-005
ENSG00000107960	RP11-541N10.2-001
ENSG00000107960	RP11-541N10.2-002
ENSG00000107960	RP11-541N10.2-003
ENSG00000107960	RP11-541N10.2-004
ENSG00000108442	AC005033.5-001
ENSG00000108516	AC003958.6-001
ENSG00000108958	AC016292.3-001
ENSG00000109265	RP11-646I6.2-001
ENSG00000109265	RP11-646I6.2-002
ENSG00000109265	RP11-646I6.2-005
ENSG00000109265	RP11-646I6.2-007
ENSG00000109265	RP11-646I6.2-008
ENSG00000111731	RP11-359J14.1-001
ENSG00000111731	RP11-359J14.1-002
ENSG00000111731	RP11-359J14.1-003
ENSG00000111731	RP11-359J14.1-004
ENSG00000111731	RP11-359J14.1-005
ENSG00000111731	RP11-359J14.1-006
ENSG00000111731	RP11-359J14.1-007
ENSG00000111731	RP11-359J14.1-008
ENSG00000111731	RP11-359J14.1-009
ENSG00000111731	RP11-359J14.1-010
ENSG00000111731	RP11-359J14.1-011
ENSG00000111731	RP11-359J14.1-012
ENSG00000111731	RP11-359J14.1-013
ENSG00000111731	RP11-359J14.1-014
ENSG00000111731	RP11-359J14.1-015
ENSG00000111731	RP11-359J14.1-016
ENSG00000111731	RP11-359J14.1-017
ENSG00000111731	RP11-359J14.1-018
ENSG00000111731	RP11-359J14.1-019
ENSG00000111780	AL021546.4-001
ENSG00000111788	RP11-22B23.1-001
ENSG00000111788	RP11-22B23.1-201
