Ensembl ID	DBASS5 ID
ENSG00000001626	22
ENSG00000001626	24
ENSG00000001631	101
ENSG00000005381	83
ENSG00000005471	111
ENSG00000005893	218
ENSG00000005961	66
ENSG00000005961	98
ENSG00000006071	1
ENSG00000008086	20
ENSG00000008710	127
ENSG00000008710	97
ENSG00000009830	234
ENSG00000010404	63
ENSG00000010404	92
ENSG00000010671	13
ENSG00000012048	11
ENSG00000012048	14
ENSG00000015285	161
ENSG00000015285	251
ENSG00000021574	115
ENSG00000023839	113
ENSG00000025708	249
ENSG00000026103	136
ENSG00000036473	92
ENSG00000038427	37
ENSG00000039068	19
ENSG00000040531	169
ENSG00000042781	162
ENSG00000042781	250
ENSG00000049540	40
ENSG00000049540	52
ENSG00000049860	60
ENSG00000049860	85
ENSG00000051180	237
ENSG00000051523	41
ENSG00000053747	217
ENSG00000054983	70
ENSG00000055118	213
ENSG00000057294	133
ENSG00000057593	57
ENSG00000057657	131
ENSG00000058085	75
ENSG00000060069	38
ENSG00000065154	197
ENSG00000065618	27
ENSG00000066468	173
ENSG00000066926	47
ENSG00000067182	121
ENSG00000067182	247
ENSG00000068366	139
ENSG00000068438	211
ENSG00000068976	138
ENSG00000070915	189
ENSG00000072210	45
ENSG00000072840	55
ENSG00000075043	132
ENSG00000075239	199
ENSG00000075239	3
ENSG00000076242	112
ENSG00000077264	230
ENSG00000080815	135
ENSG00000081277	129
ENSG00000082458	207
ENSG00000083720	229
ENSG00000084674	166
ENSG00000085224	10
ENSG00000085998	233
ENSG00000087460	55
ENSG00000089127	89
ENSG00000090581	154
ENSG00000090674	179
ENSG00000091137	123
ENSG00000094796	216
ENSG00000095002	114
ENSG00000099822	195
ENSG00000099956	190
ENSG00000100299	10
ENSG00000100393	54
ENSG00000101850	57
ENSG00000101981	59
ENSG00000101986	1
ENSG00000102104	239
ENSG00000102125	117
ENSG00000102125	152
ENSG00000102144	125
ENSG00000102174	126
ENSG00000102245	122
ENSG00000102245	18
ENSG00000102393	54
ENSG00000102393	77
ENSG00000103150	82
ENSG00000103197	126
ENSG00000103197	156
ENSG00000103449	109
ENSG00000103876	61
ENSG00000104044	90
ENSG00000104133	245
ENSG00000104774	109
ENSG00000104774	79
ENSG00000105618	100
ENSG00000105618	235
ENSG00000105639	176
ENSG00000105641	112
ENSG00000106128	212
ENSG00000106633	140
ENSG00000106633	73
ENSG00000106991	53
ENSG00000107611	39
ENSG00000107736	18
ENSG00000107736	20
ENSG00000108556	168
ENSG00000108556	24
ENSG00000108821	27
ENSG00000108946	132
ENSG00000109323	80
ENSG00000109501	162
ENSG00000110435	122
ENSG00000110719	119
ENSG00000110719	153
ENSG00000110921	117
ENSG00000111341	145
ENSG00000111424	159
ENSG00000112357	95
ENSG00000112761	163
ENSG00000112964	75
ENSG00000114054	120
ENSG00000114270	32
ENSG00000114270	34
ENSG00000114956	152
ENSG00000115085	130
ENSG00000115286	182
ENSG00000115705	125
ENSG00000116701	183
ENSG00000116984	85
ENSG00000117118	240
ENSG00000117305	88
ENSG00000117601	111
ENSG00000118046	147
ENSG00000118762	184
ENSG00000119509	144
ENSG00000120725	148
ENSG00000121454	77
ENSG00000122512	158
ENSG00000122591	48
ENSG00000123191	13
ENSG00000123191	200
ENSG00000123560	130
ENSG00000124275	223
ENSG00000125730	15
ENSG00000126524	143
ENSG00000127415	64
ENSG00000128604	96
ENSG00000128928	70
ENSG00000128973	25
ENSG00000129965	94
ENSG00000130164	104
ENSG00000130164	76
ENSG00000130203	8
ENSG00000130561	108
ENSG00000130635	30
ENSG00000130635	32
ENSG00000130707	149
ENSG00000131187	43
ENSG00000131482	49
ENSG00000131504	170
ENSG00000131828	121
ENSG00000131828	157
ENSG00000131844	178
ENSG00000131979	53
ENSG00000132470	69
ENSG00000132470	97
ENSG00000132549	26
ENSG00000132781	116
ENSG00000133063	23
ENSG00000133256	94
ENSG00000133710	116
ENSG00000134086	160
ENSG00000134183	174
ENSG00000134371	155
ENSG00000134371	90
ENSG00000134571	86
ENSG00000134982	7
ENSG00000135100	118
ENSG00000135100	215
ENSG00000135338	219
ENSG00000135636	105
ENSG00000135929	44
ENSG00000136280	150
ENSG00000136487	76
ENSG00000136492	12
ENSG00000136698	23
ENSG00000136861	19
ENSG00000136872	193
ENSG00000136936	129
ENSG00000136936	165
ENSG00000137364	124
ENSG00000137869	43
ENSG00000137992	37
ENSG00000137992	45
ENSG00000138029	80
ENSG00000138449	243
ENSG00000138759	68
ENSG00000139219	29
ENSG00000139618	15
ENSG00000139618	202
ENSG00000139687	103
ENSG00000139687	140
ENSG00000140545	221
ENSG00000140650	232
ENSG00000141458	227
ENSG00000141469	158
ENSG00000141510	123
ENSG00000141510	155
ENSG00000141837	204
ENSG00000142156	33
ENSG00000142168	114
ENSG00000142168	244
ENSG00000142173	31
ENSG00000142405	225
ENSG00000142798	91
ENSG00000143224	99
ENSG00000143369	49
ENSG00000143627	128
ENSG00000143627	98
ENSG00000144410	33
ENSG00000144455	246
ENSG00000144554	172
ENSG00000146085	181
ENSG00000147889	21
ENSG00000149311	12
ENSG00000149311	7
ENSG00000149397	142
ENSG00000149397	87
ENSG00000150787	102
ENSG00000150893	210
ENSG00000151552	139
ENSG00000151623	196
ENSG00000152556	124
ENSG00000152556	96
ENSG00000154122	135
ENSG00000154767	191
ENSG00000155465	113
ENSG00000156313	105
ENSG00000156313	141
ENSG00000157404	71
ENSG00000157978	6
ENSG00000158290	40
ENSG00000158813	50
ENSG00000158887	222
ENSG00000159023	171
ENSG00000159063	6
ENSG00000159216	107
ENSG00000159216	187
ENSG00000160050	17
ENSG00000160211	50
ENSG00000160224	5
ENSG00000160255	67
ENSG00000160323	3
ENSG00000160789	106
ENSG00000160789	156
ENSG00000160801	137
ENSG00000160882	205
ENSG00000160957	104
ENSG00000162337	220
ENSG00000162688	134
ENSG00000163069	188
ENSG00000163161	42
ENSG00000163513	148
ENSG00000163554	146
ENSG00000163554	151
ENSG00000163554	159
ENSG00000163755	143
