Ensembl ID	HGNC_automatic_transcript ID
ENSG00000000003	11858
ENSG00000000005	17757
ENSG00000000419	3005
ENSG00000000457	19285
ENSG00000000460	25565
ENSG00000000938	3697
ENSG00000000971	4883
ENSG00000001036	4008
ENSG00000001084	4311
ENSG00000001167	7804
ENSG00000001460	28070
ENSG00000001461	25233
ENSG00000001497	25726
ENSG00000001561	3359
ENSG00000001617	10728
ENSG00000001626	1884
ENSG00000001629	22215
ENSG00000001630	2649
ENSG00000001631	1573
ENSG00000002016	9824
ENSG00000002079	31038
ENSG00000002330	936
ENSG00000002549	18449
ENSG00000002586	7082
ENSG00000002587	5194
ENSG00000002726	80
ENSG00000002745	16267
ENSG00000002746	22195
ENSG00000002822	6762
ENSG00000002834	6513
ENSG00000002919	14975
ENSG00000002933	24930
ENSG00000003056	6752
ENSG00000003096	22931
ENSG00000003137	20581
ENSG00000003147	5343
ENSG00000003249	28455
ENSG00000003393	443
ENSG00000003400	1500
ENSG00000003402	1876
ENSG00000003436	11760
ENSG00000003509	28816
ENSG00000003756	9902
ENSG00000003987	7454
ENSG00000003989	11060
ENSG00000004059	658
ENSG00000004139	17074
ENSG00000004142	23781
ENSG00000004399	9107
ENSG00000004455	362
ENSG00000004468	1667
ENSG00000004478	3720
ENSG00000004487	29079
ENSG00000004534	9903
ENSG00000004660	1469
ENSG00000004700	9948
ENSG00000004766	25956
ENSG00000004776	26511
ENSG00000004777	23085
ENSG00000004779	7694
ENSG00000004799	8812
ENSG00000004809	20302
ENSG00000004838	19412
ENSG00000004846	46
ENSG00000004848	18060
ENSG00000004864	10983
ENSG00000004866	11351
ENSG00000004897	1728
ENSG00000004939	11027
ENSG00000004948	1440
ENSG00000004961	4837
ENSG00000004975	3086
ENSG00000005001	14368
ENSG00000005007	9962
ENSG00000005020	15687
ENSG00000005022	10991
ENSG00000005059	26076
ENSG00000005073	5101
ENSG00000005075	9197
ENSG00000005100	16718
ENSG00000005102	7013
ENSG00000005108	22207
ENSG00000005156	6600
ENSG00000005175	26151
ENSG00000005187	10522
ENSG00000005194	28050
ENSG00000005238	25666
ENSG00000005243	19356
ENSG00000005249	9392
ENSG00000005302	7370
ENSG00000005339	2348
ENSG00000005379	16831
ENSG00000005381	7218
ENSG00000005421	9204
ENSG00000005436	1317
ENSG00000005448	25770
ENSG00000005469	2366
ENSG00000005471	45
ENSG00000005483	18541
ENSG00000005486	23082
ENSG00000005513	11203
ENSG00000005700	17853
ENSG00000005801	12986
ENSG00000005810	23386
ENSG00000005812	13599
ENSG00000005844	6148
ENSG00000005882	8810
ENSG00000005884	6139
ENSG00000005889	12869
ENSG00000005893	6501
ENSG00000005955	19357
ENSG00000005961	6138
ENSG00000005981	16009
ENSG00000006007	29644
ENSG00000006015	26098
ENSG00000006016	2364
ENSG00000006025	16387
ENSG00000006042	24529
ENSG00000006047	17948
