Ensembl ID	HPA ID
ENSG00000000003	4109
ENSG00000000003	HPA004109
ENSG00000000005	34961
ENSG00000000457	5624
ENSG00000000457	HPA005624
ENSG00000000460	23778
ENSG00000000460	24451
ENSG00000000460	HPA023778
ENSG00000000460	HPA024451
ENSG00000000938	18959
ENSG00000000938	2024
ENSG00000000938	CAB018959
ENSG00000000938	HPA002024
ENSG00000000971	16385
ENSG00000000971	16769
ENSG00000000971	CAB016385
ENSG00000000971	CAB016769
ENSG00000001036	31659
ENSG00000001036	31660
ENSG00000001036	31661
ENSG00000001036	HPA031659
ENSG00000001036	HPA031660
ENSG00000001036	HPA031661
ENSG00000001084	36359
ENSG00000001084	36360
ENSG00000001084	9569
ENSG00000001084	CAB009569
ENSG00000001167	9250
ENSG00000001167	CAB009250
ENSG00000001460	24301
ENSG00000001460	HPA024301
ENSG00000001461	39978
ENSG00000001561	16594
ENSG00000001561	HPA016594
ENSG00000001617	35008
ENSG00000001617	HPA035008
ENSG00000001626	1951
ENSG00000001626	21939
ENSG00000001626	CAB001951
ENSG00000001626	HPA021939
ENSG00000001629	19358
ENSG00000001629	HPA019358
ENSG00000001631	22155
ENSG00000001631	HPA022155
ENSG00000002330	28185
ENSG00000002330	4205
ENSG00000002330	CAB004205
ENSG00000002330	HPA028185
ENSG00000002549	29606
ENSG00000002549	29607
ENSG00000002549	HPA029606
ENSG00000002549	HPA029607
ENSG00000002586	20
ENSG00000002586	35304
ENSG00000002586	CAB000020
ENSG00000002587	2237
ENSG00000002587	HPA002237
ENSG00000002726	31032
ENSG00000002726	31033
ENSG00000002745	27030
ENSG00000002745	HPA027030
ENSG00000002746	7593
ENSG00000002746	7609
ENSG00000002746	HPA007593
ENSG00000002746	HPA007609
ENSG00000002822	15338
ENSG00000002822	3635
ENSG00000002822	CAB015338
ENSG00000002822	HPA003635
ENSG00000002834	12072
ENSG00000002834	22049
ENSG00000002834	CAB022049
ENSG00000002834	HPA012072
ENSG00000002933	8770
ENSG00000002933	HPA008770
ENSG00000003056	34464
ENSG00000003137	12567
ENSG00000003137	HPA012567
ENSG00000003147	17646
ENSG00000003147	HPA017646
ENSG00000003400	17059
ENSG00000003400	3780
ENSG00000003400	CAB003780
ENSG00000003400	HPA017059
ENSG00000003402	19044
ENSG00000003402	22157
ENSG00000003402	25216
ENSG00000003402	CAB022157
ENSG00000003402	CAB025216
ENSG00000003436	20842
ENSG00000003436	5575
ENSG00000003436	CAB020842
ENSG00000003436	HPA005575
ENSG00000003756	17335
ENSG00000003756	18011
ENSG00000003756	HPA017335
ENSG00000003756	HPA018011
ENSG00000003987	4915
ENSG00000003987	HPA004915
ENSG00000003989	9169
ENSG00000003989	HPA009169
ENSG00000004139	24359
ENSG00000004139	24759
ENSG00000004139	27051
