Ensembl ID	PUBMED ID
ENSG00000183938	8384723
ENSG00000205274	8384723
ENSG00000211592	10354514
ENSG00000211687	3003579
ENSG00000211688	2951442
ENSG00000211689	2879283
ENSG00000211690	3003579
ENSG00000211691	2938743
ENSG00000211692	2969332
ENSG00000211694	2969332
ENSG00000211695	2806544
ENSG00000211695	2969332
ENSG00000211697	2902186
ENSG00000211697	2969332
ENSG00000211698	2969332
ENSG00000211699	2938743
ENSG00000211699	2969332
ENSG00000211701	2938743
ENSG00000211701	2969332
ENSG00000211706	8650574
ENSG00000211707	8650574
ENSG00000211710	8650574
ENSG00000211713	8650574
ENSG00000211714	8650574
ENSG00000211715	8650574
ENSG00000211716	8650574
ENSG00000211717	8650574
ENSG00000211720	8650574
ENSG00000211721	8650574
ENSG00000211724	8650574
ENSG00000211725	8650574
ENSG00000211727	8650574
ENSG00000211728	8650574
ENSG00000211731	8650574
ENSG00000211732	8650574
ENSG00000211734	8650574
ENSG00000211739	8650574
ENSG00000211745	8650574
ENSG00000211746	8650574
ENSG00000211747	8650574
ENSG00000211749	8650574
ENSG00000211750	8650574
ENSG00000211751	8650574
ENSG00000211752	8650574
ENSG00000211753	8650574
ENSG00000211764	8650574
ENSG00000211765	8650574
ENSG00000211766	8650574
ENSG00000211767	8650574
ENSG00000211768	8650574
ENSG00000211769	8650574
ENSG00000211770	8650574
ENSG00000211771	8650574
ENSG00000211772	3860845
ENSG00000211772	8951372
ENSG00000211776	8188290
ENSG00000211777	8188290
ENSG00000211779	8188290
ENSG00000211780	8188290
ENSG00000211780	8530018
ENSG00000211781	8188290
ENSG00000211782	8188290
ENSG00000211783	8188290
ENSG00000211784	8188290
ENSG00000211785	8188290
ENSG00000211786	8188290
ENSG00000211787	2971534
ENSG00000211787	8188290
ENSG00000211788	8188290
ENSG00000211789	8188290
ENSG00000211790	8188290
ENSG00000211791	8188290
ENSG00000211897	6808505
ENSG00000211898	3922054
ENSG00000211899	2115996
ENSG00000211909	3138112
ENSG00000211911	3138112
ENSG00000211912	7312051
ENSG00000211914	3138112
ENSG00000211915	3138112
ENSG00000211917	3138112
ENSG00000211918	7312051
ENSG00000211920	3243276
ENSG00000211921	3243276
ENSG00000211923	3243276
ENSG00000211924	3243276
ENSG00000211925	3243276
ENSG00000211928	3138112
ENSG00000211928	3243276
ENSG00000211930	3243276
ENSG00000211931	3138112
ENSG00000211931	7312051
ENSG00000211973	8469934
ENSG00000215206	8384723
ENSG00000225825	3138112
ENSG00000225992	2969332
ENSG00000226212	2938743
ENSG00000226212	2969332
ENSG00000226660	8650574
ENSG00000227108	3243276
ENSG00000227191	3458221
ENSG00000227196	3138112
ENSG00000227335	6101209
ENSG00000227550	8650574
ENSG00000227800	3138112
ENSG00000228131	3138112
ENSG00000228131	3243276
ENSG00000228668	2938743
ENSG00000228668	2969332
ENSG00000229063	8384723
ENSG00000229200	8650574
ENSG00000229769	8650574
ENSG00000230099	8650574
ENSG00000231202	2969332
ENSG00000232543	3243276
ENSG00000232869	8650574
ENSG00000233306	2938743
ENSG00000233306	2969332
ENSG00000233655	3138112
ENSG00000233655	3243276
ENSG00000234122	8384723
ENSG00000236170	3138112
ENSG00000236597	6101209
ENSG00000236597	6795593
ENSG00000237020	3138112
ENSG00000237111	6101209
ENSG00000237197	3243276
ENSG00000237254	8650574
ENSG00000237547	6101209
ENSG00000237702	8650574
ENSG00000239944	8650574
ENSG00000239992	8650574
ENSG00000240578	8650574
ENSG00000241911	8650574
ENSG00000242736	8650574
ENSG00000242771	8650574
ENSG00000243889	8650574
ENSG00000244661	8650574
ENSG00000249912	8650574
ENSG00000249978	2938743
ENSG00000249978	2969332
ENSG00000251578	8650574
ENSG00000253188	8650574
ENSG00000253291	8650574
ENSG00000253409	8650574
ENSG00000253534	8650574
ENSG00000253692	6811139
ENSG00000254017	6964396
ENSG00000255569	8188290
ENSG00000256379	8188290
ENSG00000256474	8188290
ENSG00000256553	8188290
