Ensembl ID	UCSC ID
ENSG00000000003	uc004ega.1
ENSG00000000005	uc004efy.3
ENSG00000000419	uc002xvw.1
ENSG00000000419	uc002xvx.1
ENSG00000000457	uc001ggs.2
ENSG00000000457	uc001ggt.2
ENSG00000000457	uc001ggu.2
ENSG00000000460	uc001ggj.2
ENSG00000000460	uc001ggp.2
ENSG00000000460	uc001ggq.2
ENSG00000000460	uc010plu.1
ENSG00000000938	uc001boj.2
ENSG00000000938	uc001bok.2
ENSG00000000938	uc001bol.2
ENSG00000000938	uc001bom.2
ENSG00000000971	uc001gti.3
ENSG00000000971	uc001gtj.3
ENSG00000000971	uc009wyx.2
ENSG00000001036	uc003qjm.2
ENSG00000001036	uc003qjn.2
ENSG00000001084	uc003pbw.1
ENSG00000001084	uc003pbx.2
ENSG00000001167	uc003opo.2
ENSG00000001167	uc003opp.2
ENSG00000001460	uc001bja.2
ENSG00000001460	uc001bjb.2
ENSG00000001460	uc001bjc.2
ENSG00000001460	uc001bjd.2
ENSG00000001461	uc001bjg.2
ENSG00000001461	uc001bjh.2
ENSG00000001461	uc001bji.2
ENSG00000001461	uc009vrc.2
ENSG00000001461	uc010oek.1
ENSG00000001497	uc004dwa.1
ENSG00000001497	uc004dwc.1
ENSG00000001497	uc004dwd.1
ENSG00000001561	uc003oxy.2
ENSG00000001617	uc003cyj.2
ENSG00000001617	uc003cyk.2
ENSG00000001626	uc003vjd.2
ENSG00000001629	uc003ulw.2
ENSG00000001630	uc003ulm.3
ENSG00000001630	uc011khn.1
ENSG00000001631	uc003ulr.1
ENSG00000001631	uc003uls.1
ENSG00000001631	uc003ult.1
ENSG00000001631	uc003ulu.1
ENSG00000001631	uc003ulv.1
ENSG00000002016	uc001qis.1
ENSG00000002016	uc001qit.1
ENSG00000002016	uc001qiu.1
ENSG00000002016	uc001qiv.1
ENSG00000002016	uc001qix.1
ENSG00000002016	uc010sdt.1
ENSG00000002016	uc010sdu.1
ENSG00000002330	uc001nzc.2
ENSG00000002330	uc001nzd.2
ENSG00000002549	uc003gph.1
ENSG00000002549	uc010ieg.2
ENSG00000002586	uc004cqm.2
ENSG00000002586	uc004cqo.2
ENSG00000002586	uc010nda.2
ENSG00000002726	uc003why.1
ENSG00000002726	uc003whz.1
ENSG00000002726	uc003wia.1
ENSG00000002745	uc003vjv.2
ENSG00000002745	uc003vjw.2
ENSG00000002746	uc003tid.1
ENSG00000002746	uc011kbi.1
ENSG00000002822	uc003sld.1
ENSG00000002822	uc003slf.1
ENSG00000002822	uc003slg.1
ENSG00000002822	uc003slh.1
ENSG00000002822	uc003sli.1
ENSG00000002822	uc010ksh.1
ENSG00000002834	uc002hra.2
ENSG00000002834	uc010wdy.1
ENSG00000002834	uc010wdz.1
ENSG00000002919	uc002inf.1
ENSG00000002919	uc002ing.1
ENSG00000002919	uc010wli.1
ENSG00000002919	uc010wlj.1
ENSG00000002933	uc003whx.1
ENSG00000003056	uc001qvf.2
ENSG00000003096	uc004eqk.2
ENSG00000003096	uc004eql.2
ENSG00000003096	uc004eqm.2
ENSG00000003096	uc011mto.1
ENSG00000003096	uc011mtp.1
ENSG00000003096	uc011mtq.1
ENSG00000003137	uc002sih.1
ENSG00000003137	uc010yra.1
ENSG00000003137	uc010yrb.1
ENSG00000003147	uc003srl.2
ENSG00000003147	uc003srm.2
ENSG00000003147	uc003sro.3
ENSG00000003147	uc003srp.3
ENSG00000003147	uc003srq.2
ENSG00000003147	uc003srs.1
ENSG00000003147	uc010ktr.2
ENSG00000003249	uc002fqe.1
ENSG00000003249	uc002fqf.1
ENSG00000003393	uc002uyo.2
ENSG00000003393	uc002uyr.2
ENSG00000003400	uc002uxi.1
ENSG00000003400	uc002uxj.1
ENSG00000003400	uc002uxk.1
ENSG00000003400	uc002uxl.1
ENSG00000003400	uc002uxm.1
ENSG00000003400	uc010fta.1
ENSG00000003400	uc010ftb.1
ENSG00000003402	uc002uwy.2
ENSG00000003402	uc002uwz.2
ENSG00000003402	uc002uxa.3
ENSG00000003402	uc002uxb.3
ENSG00000003402	uc002uxc.3
ENSG00000003402	uc002uxd.3
ENSG00000003402	uc002uxe.2
ENSG00000003402	uc002uxf.2
