Ensembl ID	UniGene ID
ENSG00000000003	Hs.43233
ENSG00000000003	Hs.603927
ENSG00000000005	Hs.132957
ENSG00000000457	Hs.435560
ENSG00000000460	Hs.443551
ENSG00000000938	Hs.1422
ENSG00000000971	Hs.363396
ENSG00000000971	Hs.644964
ENSG00000001036	Hs.17680
ENSG00000001084	Hs.596571
ENSG00000001084	Hs.623046
ENSG00000001084	Hs.654465
ENSG00000001167	Hs.10441
ENSG00000001460	Hs.403187
ENSG00000001460	Hs.680118
ENSG00000001460	Hs.689256
ENSG00000001461	Hs.523442
ENSG00000001497	Hs.522675
ENSG00000001497	Hs.721716
ENSG00000001561	Hs.643497
ENSG00000001561	Hs.715127
ENSG00000001617	Hs.32981
ENSG00000001617	Hs.606670
ENSG00000001626	Hs.489786
ENSG00000001626	Hs.604618
ENSG00000001626	Hs.661104
ENSG00000001629	Hs.703985
ENSG00000001629	Hs.728308
ENSG00000001629	Hs.83293
ENSG00000001630	Hs.417077
ENSG00000001630	Hs.602628
ENSG00000001631	Hs.531987
ENSG00000002016	Hs.410355
ENSG00000002079	Hs.553145
ENSG00000002079	Hs.621401
ENSG00000002079	Hs.631273
ENSG00000002079	Hs.641527
ENSG00000002549	Hs.570791
ENSG00000002586	Hs.680667
ENSG00000002587	Hs.507348
ENSG00000002587	Hs.605349
ENSG00000002745	Hs.272375
ENSG00000002746	Hs.164453
ENSG00000002834	Hs.728766
ENSG00000002919	Hs.15827
ENSG00000002919	Hs.710863
ENSG00000002933	Hs.647116
ENSG00000003056	Hs.134084
ENSG00000003096	Hs.348262
ENSG00000003137	Hs.91546
ENSG00000003147	Hs.487561
ENSG00000003147	Hs.718069
ENSG00000003249	Hs.595996
ENSG00000003393	Hs.471096
ENSG00000003393	Hs.621812
ENSG00000003400	Hs.5353
ENSG00000003400	Hs.605938
ENSG00000003402	Hs.390736
ENSG00000003402	Hs.609832
ENSG00000003436	Hs.516578
ENSG00000003436	Hs.619450
ENSG00000003509	Hs.433466
ENSG00000003756	Hs.439480
ENSG00000003756	Hs.609825
ENSG00000003756	Hs.639235
ENSG00000003987	Hs.617796
ENSG00000003987	Hs.618750
ENSG00000003987	Hs.625674
ENSG00000003989	Hs.448520
ENSG00000003989	Hs.602815
ENSG00000004139	Hs.728332
ENSG00000004142	Hs.241543
ENSG00000004399	Hs.301685
ENSG00000004455	Hs.470907
ENSG00000004478	Hs.524183
ENSG00000004478	Hs.598828
ENSG00000004487	Hs.591518
ENSG00000004534	Hs.696735
ENSG00000004534	Hs.720606
ENSG00000004660	Hs.621824
ENSG00000004700	Hs.235069
ENSG00000004766	Hs.222282
ENSG00000004776	Hs.534538
ENSG00000004777	Hs.515364
ENSG00000004799	Hs.8364
ENSG00000004809	Hs.520319
ENSG00000004838	Hs.526735
ENSG00000004846	Hs.404102
ENSG00000004848	Hs.300304
ENSG00000004848	Hs.614435
ENSG00000004864	Hs.489190
ENSG00000004866	Hs.368131
ENSG00000004897	Hs.463295
ENSG00000004897	Hs.574664
ENSG00000004897	Hs.597011
ENSG00000004897	Hs.602766
ENSG00000004939	Hs.443948
ENSG00000004939	Hs.636303
ENSG00000004948	Hs.489127
ENSG00000004961	Hs.211571
ENSG00000004975	Hs.118640
ENSG00000005001	Hs.459709
ENSG00000005007	Hs.515266
ENSG00000005007	Hs.597602
ENSG00000005007	Hs.707440
ENSG00000005020	Hs.200770
ENSG00000005020	Hs.707840
ENSG00000005022	Hs.487903
ENSG00000005022	Hs.689039
ENSG00000005022	Hs.693120
ENSG00000005022	Hs.709497
ENSG00000005059	Hs.234149
ENSG00000005073	Hs.249171
ENSG00000005100	Hs.250456
ENSG00000005100	Hs.605789
ENSG00000005100	Hs.708994
ENSG00000005102	Hs.438
ENSG00000005108	Hs.120855
ENSG00000005108	Hs.602690
ENSG00000005108	Hs.618030
ENSG00000005108	Hs.618882
ENSG00000005156	Hs.100299
ENSG00000005175	Hs.437855
ENSG00000005175	Hs.606034
ENSG00000005175	Hs.712751
ENSG00000005187	Hs.706754
ENSG00000005189	Hs.177926
ENSG00000005194	Hs.4900
ENSG00000005206	Hs.330742
ENSG00000005238	Hs.301696
ENSG00000005238	Hs.626178
ENSG00000005243	Hs.408434
ENSG00000005249	Hs.433068
ENSG00000005249	Hs.593442
ENSG00000005249	Hs.605228
ENSG00000005302	Hs.655288
ENSG00000005302	Hs.657718
