Ensembl ID	Vega_gene ID
ENSG00000169861	OTTHUMG00000074130
ENSG00000183938	OTTHUMG00000019783
ENSG00000197794	OTTHUMG00000151534
ENSG00000205274	OTTHUMG00000019781
ENSG00000211592	OTTHUMG00000151684
ENSG00000211593	OTTHUMG00000151676
ENSG00000211594	OTTHUMG00000151695
ENSG00000211595	OTTHUMG00000151680
ENSG00000211596	OTTHUMG00000151691
ENSG00000211597	OTTHUMG00000151679
ENSG00000211598	OTTHUMG00000151533
ENSG00000211599	OTTHUMG00000151535
ENSG00000211611	OTTHUMG00000151654
ENSG00000211619	OTTHUMG00000151677
ENSG00000211623	OTTHUMG00000151606
ENSG00000211625	OTTHUMG00000151615
ENSG00000211626	OTTHUMG00000151621
ENSG00000211630	OTTHUMG00000151571
ENSG00000211632	OTTHUMG00000151563
ENSG00000211633	OTTHUMG00000151573
ENSG00000211637	OTTHUMG00000150857
ENSG00000211638	OTTHUMG00000150844
ENSG00000211639	OTTHUMG00000150851
ENSG00000211640	OTTHUMG00000150996
ENSG00000211641	OTTHUMG00000150995
ENSG00000211642	OTTHUMG00000150993
ENSG00000211643	OTTHUMG00000151049
ENSG00000211644	OTTHUMG00000151035
ENSG00000211645	OTTHUMG00000151051
ENSG00000211647	OTTHUMG00000151041
ENSG00000211648	OTTHUMG00000151048
ENSG00000211649	OTTHUMG00000151040
ENSG00000211650	OTTHUMG00000151054
ENSG00000211651	OTTHUMG00000151050
ENSG00000211652	OTTHUMG00000151053
ENSG00000211653	OTTHUMG00000151072
ENSG00000211654	OTTHUMG00000151069
ENSG00000211655	OTTHUMG00000151074
ENSG00000211656	OTTHUMG00000151178
ENSG00000211657	OTTHUMG00000151166
ENSG00000211658	OTTHUMG00000151171
ENSG00000211659	OTTHUMG00000151221
ENSG00000211660	OTTHUMG00000151234
ENSG00000211661	OTTHUMG00000151229
ENSG00000211662	OTTHUMG00000151213
ENSG00000211663	OTTHUMG00000151226
ENSG00000211664	OTTHUMG00000151232
ENSG00000211665	OTTHUMG00000151231
ENSG00000211666	OTTHUMG00000151235
ENSG00000211667	OTTHUMG00000151233
ENSG00000211668	OTTHUMG00000151236
ENSG00000211669	OTTHUMG00000151237
ENSG00000211670	OTTHUMG00000151239
ENSG00000211671	OTTHUMG00000151240
ENSG00000211672	OTTHUMG00000151244
ENSG00000211673	OTTHUMG00000151224
ENSG00000211674	OTTHUMG00000151225
ENSG00000211675	OTTHUMG00000151218
ENSG00000211676	OTTHUMG00000151243
ENSG00000211677	OTTHUMG00000151214
ENSG00000211678	OTTHUMG00000151220
ENSG00000211679	OTTHUMG00000151217
ENSG00000211680	OTTHUMG00000151184
ENSG00000211681	OTTHUMG00000151170
ENSG00000211682	OTTHUMG00000151181
ENSG00000211684	OTTHUMG00000151167
ENSG00000211685	OTTHUMG00000151017
ENSG00000211687	OTTHUMG00000155217
ENSG00000211688	OTTHUMG00000155222
ENSG00000211689	OTTHUMG00000155219
ENSG00000211690	OTTHUMG00000155214
ENSG00000211691	OTTHUMG00000155220
ENSG00000211692	OTTHUMG00000155226
ENSG00000211693	OTTHUMG00000155221
ENSG00000211694	OTTHUMG00000155223
ENSG00000211695	OTTHUMG00000155218
ENSG00000211696	OTTHUMG00000155098
ENSG00000211697	OTTHUMG00000155101
ENSG00000211698	OTTHUMG00000155099
ENSG00000211699	OTTHUMG00000155102
ENSG00000211701	OTTHUMG00000155097
ENSG00000211706	OTTHUMG00000158531
ENSG00000211707	OTTHUMG00000158529
ENSG00000211710	OTTHUMG00000158522
ENSG00000211713	OTTHUMG00000158533
ENSG00000211714	OTTHUMG00000158528
ENSG00000211715	OTTHUMG00000158510
ENSG00000211716	OTTHUMG00000158527
ENSG00000211717	OTTHUMG00000158514
ENSG00000211720	OTTHUMG00000158505
ENSG00000211721	OTTHUMG00000158519
ENSG00000211724	OTTHUMG00000158509
ENSG00000211725	OTTHUMG00000158512
ENSG00000211727	OTTHUMG00000158882
ENSG00000211728	OTTHUMG00000158873
ENSG00000211731	OTTHUMG00000158897
ENSG00000211732	OTTHUMG00000158905
ENSG00000211734	OTTHUMG00000158520
ENSG00000211739	OTTHUMG00000158523
ENSG00000211745	OTTHUMG00000158525
ENSG00000211746	OTTHUMG00000158877
ENSG00000211747	OTTHUMG00000158899
ENSG00000211749	OTTHUMG00000158920
ENSG00000211750	OTTHUMG00000158889
ENSG00000211751	OTTHUMG00000158868
ENSG00000211752	OTTHUMG00000158924
ENSG00000211753	OTTHUMG00000158900
ENSG00000211764	OTTHUMG00000158918
ENSG00000211765	OTTHUMG00000158870
ENSG00000211766	OTTHUMG00000158876
ENSG00000211767	OTTHUMG00000158896
ENSG00000211768	OTTHUMG00000158888
ENSG00000211769	OTTHUMG00000158874
ENSG00000211770	OTTHUMG00000158913
ENSG00000211771	OTTHUMG00000158906
ENSG00000211772	OTTHUMG00000158912
ENSG00000211776	OTTHUMG00000168980
ENSG00000211777	OTTHUMG00000168981
ENSG00000211779	OTTHUMG00000168983
ENSG00000211780	OTTHUMG00000168984
ENSG00000211781	OTTHUMG00000168985
ENSG00000211782	OTTHUMG00000168986
ENSG00000211783	OTTHUMG00000168987
ENSG00000211784	OTTHUMG00000168988
ENSG00000211785	OTTHUMG00000168990
ENSG00000211786	OTTHUMG00000168991
ENSG00000211787	OTTHUMG00000168992
ENSG00000211788	OTTHUMG00000168993
ENSG00000211789	OTTHUMG00000168994
ENSG00000211790	OTTHUMG00000168995
ENSG00000211791	OTTHUMG00000168997
ENSG00000211792	OTTHUMG00000168998
ENSG00000211890	OTTHUMG00000152472
ENSG00000211891	OTTHUMG00000152483
ENSG00000211892	OTTHUMG00000152481
ENSG00000211893	OTTHUMG00000152482
ENSG00000211895	OTTHUMG00000152494
ENSG00000211896	OTTHUMG00000152495
ENSG00000211897	OTTHUMG00000152539
ENSG00000211898	OTTHUMG00000152538
ENSG00000211899	OTTHUMG00000152452
ENSG00000211900	OTTHUMG00000152455
ENSG00000211904	OTTHUMG00000152457
ENSG00000211905	OTTHUMG00000152460
ENSG00000211907	OTTHUMG00000152429
ENSG00000211909	OTTHUMG00000152427
ENSG00000211911	OTTHUMG00000152434
ENSG00000211912	OTTHUMG00000152428
ENSG00000211914	OTTHUMG00000152431
ENSG00000211915	OTTHUMG00000152433
ENSG00000211917	OTTHUMG00000152439
ENSG00000211918	OTTHUMG00000152430
ENSG00000211920	OTTHUMG00000152370
ENSG00000211921	OTTHUMG00000152367
ENSG00000211923	OTTHUMG00000152354
ENSG00000211924	OTTHUMG00000152352
ENSG00000211925	OTTHUMG00000152361
ENSG00000211928	OTTHUMG00000152360
ENSG00000211930	OTTHUMG00000152358
ENSG00000211931	OTTHUMG00000152356
ENSG00000211933	OTTHUMG00000152324
ENSG00000211934	OTTHUMG00000152320
ENSG00000211935	OTTHUMG00000152323
ENSG00000211936	OTTHUMG00000152322
ENSG00000211937	OTTHUMG00000152287
ENSG00000211938	OTTHUMG00000152271
ENSG00000211939	OTTHUMG00000152284
ENSG00000211940	OTTHUMG00000152291
ENSG00000211941	OTTHUMG00000152277
ENSG00000211942	OTTHUMG00000152295
ENSG00000211943	OTTHUMG00000152282
ENSG00000211944	OTTHUMG00000152273
ENSG00000211945	OTTHUMG00000152276
ENSG00000211946	OTTHUMG00000152285
ENSG00000211947	OTTHUMG00000152279
ENSG00000211949	OTTHUMG00000152091
ENSG00000211950	OTTHUMG00000152095
ENSG00000211951	OTTHUMG00000152100
ENSG00000211952	OTTHUMG00000152062
ENSG00000211953	OTTHUMG00000152069
ENSG00000211955	OTTHUMG00000152077
ENSG00000211956	OTTHUMG00000152074
ENSG00000211957	OTTHUMG00000152079
ENSG00000211958	OTTHUMG00000152093
ENSG00000211959	OTTHUMG00000152067
ENSG00000211961	OTTHUMG00000152075
ENSG00000211962	OTTHUMG00000151963
ENSG00000211964	OTTHUMG00000151959
ENSG00000211965	OTTHUMG00000151967
ENSG00000211966	OTTHUMG00000151960
ENSG00000211967	OTTHUMG00000151966
ENSG00000211968	OTTHUMG00000151953
ENSG00000211970	OTTHUMG00000151976
ENSG00000211972	OTTHUMG00000151880
ENSG00000211973	OTTHUMG00000151862
ENSG00000211974	OTTHUMG00000151870
ENSG00000211976	OTTHUMG00000151867
ENSG00000211978	OTTHUMG00000151873
ENSG00000211979	OTTHUMG00000151731
ENSG00000214618	OTTHUMG00000152881
ENSG00000215206	OTTHUMG00000152869
ENSG00000222037	OTTHUMG00000151165
ENSG00000223350	OTTHUMG00000151045
ENSG00000223648	OTTHUMG00000151971
ENSG00000224041	OTTHUMG00000151568
ENSG00000224373	OTTHUMG00000151973
ENSG00000224607	OTTHUMG00000151607
ENSG00000224650	OTTHUMG00000151860
ENSG00000225523	OTTHUMG00000151608
ENSG00000225698	OTTHUMG00000151865
ENSG00000225825	OTTHUMG00000152436
ENSG00000225992	OTTHUMG00000155224
ENSG00000226212	OTTHUMG00000155096
ENSG00000226420	OTTHUMG00000151238
ENSG00000226660	OTTHUMG00000158532
ENSG00000227108	OTTHUMG00000152369
ENSG00000227191	OTTHUMG00000155215
ENSG00000227196	OTTHUMG00000152438
ENSG00000227335	OTTHUMG00000152458
ENSG00000227550	OTTHUMG00000158506
ENSG00000227800	OTTHUMG00000152437
ENSG00000228131	OTTHUMG00000152353
ENSG00000228668	OTTHUMG00000155095
ENSG00000229063	OTTHUMG00000019774
ENSG00000229092	OTTHUMG00000151968
ENSG00000229200	OTTHUMG00000158875
ENSG00000229769	OTTHUMG00000158535
ENSG00000230099	OTTHUMG00000158524
ENSG00000231202	OTTHUMG00000155216
ENSG00000231475	OTTHUMG00000152097
ENSG00000232216	OTTHUMG00000152094
ENSG00000232543	OTTHUMG00000152368
ENSG00000232747	OTTHUMG00000151603
ENSG00000232869	OTTHUMG00000158898
ENSG00000233306	OTTHUMG00000155105
ENSG00000233655	OTTHUMG00000152355
ENSG00000234122	OTTHUMG00000000400
ENSG00000235755	OTTHUMG00000152882
ENSG00000235896	OTTHUMG00000151566
ENSG00000236170	OTTHUMG00000152359
ENSG00000236597	OTTHUMG00000152435
ENSG00000237020	OTTHUMG00000152432
ENSG00000237111	OTTHUMG00000152459
ENSG00000237197	OTTHUMG00000152357
ENSG00000237254	OTTHUMG00000158907
ENSG00000237547	OTTHUMG00000152456
ENSG00000237702	OTTHUMG00000158526
ENSG00000239571	OTTHUMG00000151613
ENSG00000239819	OTTHUMG00000151570
ENSG00000239855	OTTHUMG00000151559
ENSG00000239862	OTTHUMG00000151689
ENSG00000239944	OTTHUMG00000158530
ENSG00000239951	OTTHUMG00000151639
ENSG00000239975	OTTHUMG00000151602
ENSG00000239992	OTTHUMG00000158911
ENSG00000240041	OTTHUMG00000152454
ENSG00000240382	OTTHUMG00000151650
ENSG00000240578	OTTHUMG00000158895
ENSG00000240671	OTTHUMG00000151634
ENSG00000240834	OTTHUMG00000151564
ENSG00000240864	OTTHUMG00000151649
ENSG00000241244	OTTHUMG00000151569
ENSG00000241294	OTTHUMG00000151655
ENSG00000241351	OTTHUMG00000151633
ENSG00000241566	OTTHUMG00000151618
ENSG00000241755	OTTHUMG00000151637
ENSG00000241911	OTTHUMG00000158869
ENSG00000242076	OTTHUMG00000151682
ENSG00000242371	OTTHUMG00000151678
ENSG00000242472	OTTHUMG00000152461
ENSG00000242534	OTTHUMG00000151616
ENSG00000242580	OTTHUMG00000151572
ENSG00000242736	OTTHUMG00000158515
ENSG00000242766	OTTHUMG00000151610
ENSG00000242771	OTTHUMG00000158537
ENSG00000242887	OTTHUMG00000152453
ENSG00000243063	OTTHUMG00000151636
ENSG00000243238	OTTHUMG00000151692
ENSG00000243264	OTTHUMG00000151619
ENSG00000243290	OTTHUMG00000151643
ENSG00000243466	OTTHUMG00000151560
ENSG00000243889	OTTHUMG00000158518
ENSG00000244116	OTTHUMG00000151652
ENSG00000244437	OTTHUMG00000151653
ENSG00000244575	OTTHUMG00000151640
ENSG00000244661	OTTHUMG00000158507
ENSG00000249912	OTTHUMG00000158928
ENSG00000249978	OTTHUMG00000155100
ENSG00000250036	OTTHUMG00000159960
ENSG00000251039	OTTHUMG00000159963
ENSG00000251546	OTTHUMG00000159962
ENSG00000251578	OTTHUMG00000158880
ENSG00000253120	OTTHUMG00000151174
ENSG00000253126	OTTHUMG00000151583
ENSG00000253127	OTTHUMG00000151611
ENSG00000253128	OTTHUMG00000151869
ENSG00000253131	OTTHUMG00000151975
ENSG00000253132	OTTHUMG00000151950
ENSG00000253149	OTTHUMG00000152101
ENSG00000253152	OTTHUMG00000151227
ENSG00000253158	OTTHUMG00000151688
ENSG00000253169	OTTHUMG00000151970
ENSG00000253188	OTTHUMG00000158511
ENSG00000253191	OTTHUMG00000151614
ENSG00000253202	OTTHUMG00000151645
ENSG00000253209	OTTHUMG00000151972
ENSG00000253234	OTTHUMG00000151216
ENSG00000253239	OTTHUMG00000150834
ENSG00000253240	OTTHUMG00000152068
ENSG00000253241	OTTHUMG00000151964
ENSG00000253242	OTTHUMG00000150852
ENSG00000253247	OTTHUMG00000151878
ENSG00000253265	OTTHUMG00000151642
ENSG00000253274	OTTHUMG00000151868
ENSG00000253278	OTTHUMG00000151635
ENSG00000253291	OTTHUMG00000158872
ENSG00000253294	OTTHUMG00000152098
ENSG00000253303	OTTHUMG00000151732
ENSG00000253310	OTTHUMG00000151872
ENSG00000253325	OTTHUMG00000152085
ENSG00000253329	OTTHUMG00000151182
ENSG00000253338	OTTHUMG00000151168
ENSG00000253345	OTTHUMG00000152102
ENSG00000253359	OTTHUMG00000152083
ENSG00000253365	OTTHUMG00000151604
ENSG00000253367	OTTHUMG00000152072
ENSG00000253386	OTTHUMG00000151974
ENSG00000253387	OTTHUMG00000152274
ENSG00000253409	OTTHUMG00000158508
ENSG00000253412	OTTHUMG00000152272
ENSG00000253435	OTTHUMG00000151536
ENSG00000253440	OTTHUMG00000152096
ENSG00000253441	OTTHUMG00000152073
ENSG00000253448	OTTHUMG00000151222
ENSG00000253451	OTTHUMG00000151183
ENSG00000253458	OTTHUMG00000152275
