Ensembl ID	Vega_translation ID
ENSG00000000003	200833
ENSG00000000003	OTTHUMP00000023652
ENSG00000000005	200831
ENSG00000000005	OTTHUMP00000023651
ENSG00000000419	165830
ENSG00000000419	165831
ENSG00000000419	165832
ENSG00000000419	165833
ENSG00000000419	OTTHUMP00000031285
ENSG00000000419	OTTHUMP00000031286
ENSG00000000419	OTTHUMP00000031287
ENSG00000000419	OTTHUMP00000031288
ENSG00000000457	123678
ENSG00000000457	123679
ENSG00000000457	123680
ENSG00000000457	OTTHUMP00000034140
ENSG00000000457	OTTHUMP00000034141
ENSG00000000457	OTTHUMP00000034142
ENSG00000000460	123663
ENSG00000000460	123664
ENSG00000000460	OTTHUMP00000033966
ENSG00000000460	OTTHUMP00000034000
ENSG00000000938	118926
ENSG00000000938	118927
ENSG00000000938	118928
ENSG00000000938	118929
ENSG00000000938	OTTHUMP00000003601
ENSG00000000938	OTTHUMP00000003602
ENSG00000000938	OTTHUMP00000003603
ENSG00000000938	OTTHUMP00000003604
ENSG00000000971	124104
ENSG00000000971	124105
ENSG00000000971	OTTHUMP00000033598
ENSG00000000971	OTTHUMP00000034106
ENSG00000001036	186447
ENSG00000001036	186448
ENSG00000001036	186449
ENSG00000001036	OTTHUMP00000017331
ENSG00000001036	OTTHUMP00000017332
ENSG00000001036	OTTHUMP00000017333
ENSG00000001084	184951
ENSG00000001084	184952
ENSG00000001084	184953
ENSG00000001084	184954
ENSG00000001084	184955
ENSG00000001084	184956
ENSG00000001084	184957
ENSG00000001084	184958
ENSG00000001084	OTTHUMP00000217803
ENSG00000001084	OTTHUMP00000217893
ENSG00000001084	OTTHUMP00000217894
ENSG00000001084	OTTHUMP00000217895
ENSG00000001084	OTTHUMP00000217896
ENSG00000001084	OTTHUMP00000217897
ENSG00000001084	OTTHUMP00000217898
ENSG00000001084	OTTHUMP00000217907
ENSG00000001167	184404
ENSG00000001167	184405
ENSG00000001167	OTTHUMP00000016365
ENSG00000001167	OTTHUMP00000016366
ENSG00000001460	118636
ENSG00000001460	118637
ENSG00000001460	118638
ENSG00000001460	118639
ENSG00000001460	OTTHUMP00000003334
ENSG00000001460	OTTHUMP00000003335
ENSG00000001460	OTTHUMP00000037936
ENSG00000001460	OTTHUMP00000037937
ENSG00000001461	118641
ENSG00000001461	118642
ENSG00000001461	118643
ENSG00000001461	118644
ENSG00000001461	118645
ENSG00000001461	OTTHUMP00000003338
ENSG00000001461	OTTHUMP00000003339
ENSG00000001461	OTTHUMP00000003340
ENSG00000001461	OTTHUMP00000003341
ENSG00000001461	OTTHUMP00000179078
ENSG00000001497	200456
ENSG00000001497	200457
ENSG00000001497	200458
ENSG00000001497	OTTHUMP00000023435
ENSG00000001497	OTTHUMP00000023436
ENSG00000001497	OTTHUMP00000023437
ENSG00000001561	184807
ENSG00000001561	OTTHUMP00000016541
ENSG00000001617	171618
ENSG00000001617	171619
ENSG00000001617	171620
ENSG00000001617	171621
ENSG00000001617	171622
ENSG00000001617	171623
ENSG00000001617	171624
ENSG00000001617	OTTHUMP00000210657
ENSG00000001617	OTTHUMP00000210658
ENSG00000001617	OTTHUMP00000210668
ENSG00000001617	OTTHUMP00000210669
ENSG00000001617	OTTHUMP00000210670
ENSG00000001617	OTTHUMP00000210671
ENSG00000001617	OTTHUMP00000210672
ENSG00000001626	189994
ENSG00000001626	189995
ENSG00000001626	189996
ENSG00000001626	189997
ENSG00000001626	OTTHUMP00000024694
ENSG00000001626	OTTHUMP00000195980
ENSG00000001626	OTTHUMP00000196524
ENSG00000001626	OTTHUMP00000212522
ENSG00000001629	189032
ENSG00000001629	189033
ENSG00000001629	189034
ENSG00000001629	189035
ENSG00000001629	189036
ENSG00000001629	OTTHUMP00000208793
ENSG00000001629	OTTHUMP00000208794
ENSG00000001629	OTTHUMP00000208795
ENSG00000001629	OTTHUMP00000208796
ENSG00000001629	OTTHUMP00000208797
ENSG00000001630	189008
ENSG00000001630	189009
ENSG00000001630	189010
ENSG00000001630	189011
ENSG00000001630	OTTHUMP00000161775
ENSG00000001630	OTTHUMP00000208817
ENSG00000001630	OTTHUMP00000208819
ENSG00000001630	OTTHUMP00000208820
ENSG00000001631	189015
ENSG00000001631	189016
ENSG00000001631	189017
ENSG00000001631	189018
ENSG00000001631	189019
ENSG00000001631	189020
ENSG00000001631	189021
ENSG00000001631	189022
ENSG00000001631	189023
ENSG00000001631	189024
ENSG00000001631	189025
ENSG00000001631	189026
ENSG00000001631	189027
ENSG00000001631	189028
ENSG00000001631	189029
ENSG00000001631	189030
ENSG00000001631	189031
ENSG00000001631	OTTHUMP00000161833
ENSG00000001631	OTTHUMP00000208801
ENSG00000001631	OTTHUMP00000208802
ENSG00000001631	OTTHUMP00000208803
ENSG00000001631	OTTHUMP00000208804
ENSG00000001631	OTTHUMP00000208805
ENSG00000001631	OTTHUMP00000208806
ENSG00000001631	OTTHUMP00000208807
ENSG00000001631	OTTHUMP00000208808
ENSG00000001631	OTTHUMP00000208809
ENSG00000001631	OTTHUMP00000208810
ENSG00000001631	OTTHUMP00000208811
ENSG00000001631	OTTHUMP00000208812
ENSG00000001631	OTTHUMP00000208813
ENSG00000001631	OTTHUMP00000208814
ENSG00000001631	OTTHUMP00000208815
ENSG00000001631	OTTHUMP00000208816
ENSG00000002016	134975
ENSG00000002016	134976
ENSG00000002016	134977
ENSG00000002016	134978
ENSG00000002016	134979
ENSG00000002016	134980
ENSG00000002016	134981
ENSG00000002016	134982
ENSG00000002016	134983
ENSG00000002016	134984
ENSG00000002016	OTTHUMP00000115419
ENSG00000002016	OTTHUMP00000192924
ENSG00000002016	OTTHUMP00000233168
ENSG00000002016	OTTHUMP00000233169
ENSG00000002016	OTTHUMP00000237799
ENSG00000002016	OTTHUMP00000237800
ENSG00000002016	OTTHUMP00000237801
ENSG00000002016	OTTHUMP00000237802
ENSG00000002016	OTTHUMP00000237803
ENSG00000002016	OTTHUMP00000237804
ENSG00000002330	131642
ENSG00000002330	131643
ENSG00000002330	131644
ENSG00000002330	131645
ENSG00000002330	131646
ENSG00000002330	131647
ENSG00000002330	OTTHUMP00000165928
ENSG00000002330	OTTHUMP00000165929
ENSG00000002330	OTTHUMP00000165930
ENSG00000002330	OTTHUMP00000237045
ENSG00000002330	OTTHUMP00000237046
ENSG00000002330	OTTHUMP00000237047
ENSG00000002549	175913
ENSG00000002549	175914
ENSG00000002549	175915
ENSG00000002549	OTTHUMP00000158664
ENSG00000002549	OTTHUMP00000217913
ENSG00000002549	OTTHUMP00000217932
ENSG00000002586	199236
ENSG00000002586	199237
ENSG00000002586	199238
ENSG00000002586	199239
ENSG00000002586	199240
ENSG00000002586	199241
ENSG00000002586	OTTHUMP00000022840
ENSG00000002586	OTTHUMP00000022841
ENSG00000002586	OTTHUMP00000022842
ENSG00000002586	OTTHUMP00000022843
ENSG00000002586	OTTHUMP00000022844
ENSG00000002586	OTTHUMP00000022845
ENSG00000002587	175806
ENSG00000002587	175807
ENSG00000002587	175808
ENSG00000002587	OTTHUMP00000115651
ENSG00000002587	OTTHUMP00000218044
ENSG00000002587	OTTHUMP00000218045
ENSG00000002726	190841
ENSG00000002726	190842
ENSG00000002726	190843
ENSG00000002726	190844
ENSG00000002726	190845
ENSG00000002726	190846
ENSG00000002726	OTTHUMP00000212758
ENSG00000002726	OTTHUMP00000212759
ENSG00000002726	OTTHUMP00000212760
ENSG00000002726	OTTHUMP00000212762
ENSG00000002726	OTTHUMP00000212763
ENSG00000002726	OTTHUMP00000212765
ENSG00000002745	190038
ENSG00000002745	190039
ENSG00000002745	OTTHUMP00000211164
ENSG00000002745	OTTHUMP00000211165
ENSG00000002746	188017
ENSG00000002746	188018
ENSG00000002746	188019
ENSG00000002746	OTTHUMP00000159167
ENSG00000002746	OTTHUMP00000207413
ENSG00000002746	OTTHUMP00000207414
ENSG00000002822	187172
ENSG00000002822	187173
ENSG00000002822	187174
ENSG00000002822	187175
ENSG00000002822	187176
ENSG00000002822	187177
ENSG00000002822	187178
ENSG00000002822	187179
ENSG00000002822	187180
ENSG00000002822	187181
ENSG00000002822	187182
ENSG00000002822	187183
ENSG00000002822	OTTHUMP00000200097
ENSG00000002822	OTTHUMP00000200098
ENSG00000002822	OTTHUMP00000200099
ENSG00000002822	OTTHUMP00000200100
ENSG00000002822	OTTHUMP00000200101
ENSG00000002822	OTTHUMP00000200102
ENSG00000002822	OTTHUMP00000200103
ENSG00000002822	OTTHUMP00000200104
ENSG00000002822	OTTHUMP00000200105
ENSG00000002822	OTTHUMP00000200106
ENSG00000002822	OTTHUMP00000200107
ENSG00000002822	OTTHUMP00000200108
ENSG00000002834	148947
ENSG00000002834	148948
ENSG00000002834	OTTHUMP00000164238
ENSG00000002834	OTTHUMP00000164239
ENSG00000002933	190836
ENSG00000002933	190837
ENSG00000002933	190838
ENSG00000002933	190839
ENSG00000002933	190840
ENSG00000002933	OTTHUMP00000212626
ENSG00000002933	OTTHUMP00000212627
ENSG00000002933	OTTHUMP00000212628
ENSG00000002933	OTTHUMP00000212629
ENSG00000002933	OTTHUMP00000212630
ENSG00000003056	135608
ENSG00000003056	135609
ENSG00000003056	135610
ENSG00000003056	135611
ENSG00000003056	135612
ENSG00000003056	135613
ENSG00000003056	135614
ENSG00000003056	135615
ENSG00000003056	135616
ENSG00000003056	135617
ENSG00000003056	OTTHUMP00000238491
ENSG00000003056	OTTHUMP00000238492
ENSG00000003056	OTTHUMP00000238493
ENSG00000003056	OTTHUMP00000238494
ENSG00000003056	OTTHUMP00000238495
ENSG00000003056	OTTHUMP00000238496
ENSG00000003056	OTTHUMP00000238497
ENSG00000003056	OTTHUMP00000238498
ENSG00000003056	OTTHUMP00000238499
ENSG00000003056	OTTHUMP00000238500
ENSG00000003096	201231
ENSG00000003096	201232
ENSG00000003096	201233
ENSG00000003096	201234
ENSG00000003096	201235
ENSG00000003096	201236
ENSG00000003096	OTTHUMP00000023881
ENSG00000003096	OTTHUMP00000023882
ENSG00000003096	OTTHUMP00000023883
ENSG00000003096	OTTHUMP00000023884
ENSG00000003096	OTTHUMP00000023885
ENSG00000003096	OTTHUMP00000215715
ENSG00000003137	159841
ENSG00000003137	159842
ENSG00000003137	159843
ENSG00000003137	159844
ENSG00000003137	OTTHUMP00000160175
ENSG00000003137	OTTHUMP00000202257
ENSG00000003137	OTTHUMP00000227728
ENSG00000003137	OTTHUMP00000227729
ENSG00000003147	187384
ENSG00000003147	187385
ENSG00000003147	187386
ENSG00000003147	187387
ENSG00000003147	187388
ENSG00000003147	187389
ENSG00000003147	187390
ENSG00000003147	187391
ENSG00000003147	187392
ENSG00000003147	187393
ENSG00000003147	187394
ENSG00000003147	187395
ENSG00000003147	OTTHUMP00000200933
ENSG00000003147	OTTHUMP00000200934
ENSG00000003147	OTTHUMP00000200935
ENSG00000003147	OTTHUMP00000200936
ENSG00000003147	OTTHUMP00000200937
ENSG00000003147	OTTHUMP00000200941
ENSG00000003147	OTTHUMP00000200993
ENSG00000003147	OTTHUMP00000200994
ENSG00000003147	OTTHUMP00000200995
ENSG00000003147	OTTHUMP00000200996
ENSG00000003147	OTTHUMP00000200997
ENSG00000003147	OTTHUMP00000200998
ENSG00000003249	146913
ENSG00000003249	146914
ENSG00000003249	OTTHUMP00000176844
ENSG00000003249	OTTHUMP00000176845
ENSG00000003393	162418
ENSG00000003393	162419
ENSG00000003393	162420
ENSG00000003393	162421
ENSG00000003393	162422
ENSG00000003393	OTTHUMP00000205832
ENSG00000003393	OTTHUMP00000206119
ENSG00000003393	OTTHUMP00000206122
ENSG00000003393	OTTHUMP00000209440
ENSG00000003393	OTTHUMP00000224839
ENSG00000003400	162367
ENSG00000003400	162368
ENSG00000003400	162369
ENSG00000003400	162370
ENSG00000003400	162371
ENSG00000003400	162372
ENSG00000003400	162373
ENSG00000003400	OTTHUMP00000163712
ENSG00000003400	OTTHUMP00000163713
ENSG00000003400	OTTHUMP00000163714
ENSG00000003400	OTTHUMP00000206547
ENSG00000003400	OTTHUMP00000206548
ENSG00000003400	OTTHUMP00000206550
ENSG00000003400	OTTHUMP00000206551
ENSG00000003402	162353
ENSG00000003402	162354
ENSG00000003402	162355
ENSG00000003402	162356
ENSG00000003402	162357
ENSG00000003402	162358
ENSG00000003402	162359
ENSG00000003402	162360
ENSG00000003402	162361
ENSG00000003402	162362
ENSG00000003402	162363
ENSG00000003402	162364
ENSG00000003402	162365
ENSG00000003402	162366
ENSG00000003402	OTTHUMP00000163715
ENSG00000003402	OTTHUMP00000206475
ENSG00000003402	OTTHUMP00000206476
ENSG00000003402	OTTHUMP00000206477
ENSG00000003402	OTTHUMP00000206478
ENSG00000003402	OTTHUMP00000206479
ENSG00000003402	OTTHUMP00000206480
ENSG00000003402	OTTHUMP00000206481
ENSG00000003402	OTTHUMP00000206482
ENSG00000003402	OTTHUMP00000206483
ENSG00000003402	OTTHUMP00000206484
ENSG00000003402	OTTHUMP00000206485
ENSG00000003402	OTTHUMP00000206486
ENSG00000003402	OTTHUMP00000207360
ENSG00000003436	162018
ENSG00000003436	162019
ENSG00000003436	162020
ENSG00000003436	162021
ENSG00000003436	162022
ENSG00000003436	162023
ENSG00000003436	162024
ENSG00000003436	162025
ENSG00000003436	162026
ENSG00000003436	162027
ENSG00000003436	OTTHUMP00000163472
ENSG00000003436	OTTHUMP00000205424
ENSG00000003436	OTTHUMP00000205425
ENSG00000003436	OTTHUMP00000205426
ENSG00000003436	OTTHUMP00000205427
ENSG00000003436	OTTHUMP00000205428
ENSG00000003436	OTTHUMP00000205429
ENSG00000003436	OTTHUMP00000205430
ENSG00000003436	OTTHUMP00000205431
ENSG00000003436	OTTHUMP00000205432
ENSG00000003509	159060
ENSG00000003509	159061
ENSG00000003509	159062
ENSG00000003509	159063
ENSG00000003509	159064
ENSG00000003509	159065
ENSG00000003509	159066
ENSG00000003509	159067
ENSG00000003509	OTTHUMP00000158583
ENSG00000003509	OTTHUMP00000201359
ENSG00000003509	OTTHUMP00000201360
ENSG00000003509	OTTHUMP00000201361
ENSG00000003509	OTTHUMP00000201362
ENSG00000003509	OTTHUMP00000201363
ENSG00000003509	OTTHUMP00000201364
ENSG00000003509	OTTHUMP00000201365
ENSG00000003756	171610
ENSG00000003756	171611
ENSG00000003756	171612
ENSG00000003756	171613
ENSG00000003756	171614
ENSG00000003756	171615
ENSG00000003756	171616
ENSG00000003756	171617
ENSG00000003756	OTTHUMP00000210613
ENSG00000003756	OTTHUMP00000210614
ENSG00000003756	OTTHUMP00000210621
ENSG00000003756	OTTHUMP00000210622
ENSG00000003756	OTTHUMP00000210623
ENSG00000003756	OTTHUMP00000210624
ENSG00000003756	OTTHUMP00000210625
ENSG00000003756	OTTHUMP00000210626
ENSG00000003987	191600
ENSG00000003987	191601
ENSG00000003987	191602
ENSG00000003987	OTTHUMP00000224794
ENSG00000003987	OTTHUMP00000224795
ENSG00000003987	OTTHUMP00000225800
ENSG00000003989	191604
ENSG00000003989	191605
ENSG00000003989	191606
ENSG00000003989	OTTHUMP00000216432
ENSG00000003989	OTTHUMP00000216433
ENSG00000003989	OTTHUMP00000224768
ENSG00000004059	190120
ENSG00000004059	190121
ENSG00000004059	OTTHUMP00000024864
ENSG00000004059	OTTHUMP00000196795
ENSG00000004139	148320
ENSG00000004139	OTTHUMP00000163322
ENSG00000004399	173414
ENSG00000004399	173415
ENSG00000004399	173416
ENSG00000004399	173417
ENSG00000004399	173418
ENSG00000004399	173419
ENSG00000004399	OTTHUMP00000215785
ENSG00000004399	OTTHUMP00000215821
ENSG00000004399	OTTHUMP00000215836
ENSG00000004399	OTTHUMP00000215837
ENSG00000004399	OTTHUMP00000215871
ENSG00000004399	OTTHUMP00000215872
ENSG00000004455	119245
ENSG00000004455	119246
ENSG00000004455	OTTHUMP00000004287
ENSG00000004455	OTTHUMP00000004288
ENSG00000004468	175867
ENSG00000004468	175868
ENSG00000004468	175869
ENSG00000004468	OTTHUMP00000158633
ENSG00000004468	OTTHUMP00000217742
ENSG00000004468	OTTHUMP00000217743
ENSG00000004478	135071
ENSG00000004478	135072
ENSG00000004478	135073
ENSG00000004478	135074
ENSG00000004478	135075
ENSG00000004478	OTTHUMP00000115497
ENSG00000004478	OTTHUMP00000237936
ENSG00000004478	OTTHUMP00000237937
ENSG00000004478	OTTHUMP00000237938
ENSG00000004478	OTTHUMP00000237939
ENSG00000004487	118537
ENSG00000004487	118538
ENSG00000004487	OTTHUMP00000003255
ENSG00000004487	OTTHUMP00000003256
ENSG00000004534	171597
ENSG00000004534	171598
ENSG00000004534	171599
ENSG00000004534	171600
ENSG00000004534	171601
ENSG00000004534	171602
ENSG00000004534	171603
ENSG00000004534	171604
ENSG00000004534	171605
ENSG00000004534	171606
ENSG00000004534	171607
ENSG00000004534	171608
ENSG00000004534	171609
ENSG00000004534	OTTHUMP00000210487
ENSG00000004534	OTTHUMP00000210488
ENSG00000004534	OTTHUMP00000210489
ENSG00000004534	OTTHUMP00000210491
ENSG00000004534	OTTHUMP00000210492
ENSG00000004534	OTTHUMP00000210499
ENSG00000004534	OTTHUMP00000210500
ENSG00000004534	OTTHUMP00000210501
ENSG00000004534	OTTHUMP00000210540
ENSG00000004534	OTTHUMP00000210541
ENSG00000004534	OTTHUMP00000210609
ENSG00000004534	OTTHUMP00000210610
ENSG00000004534	OTTHUMP00000210612
ENSG00000004660	147124
ENSG00000004660	147125
ENSG00000004660	147126
ENSG00000004660	OTTHUMP00000115903
ENSG00000004660	OTTHUMP00000115904
ENSG00000004660	OTTHUMP00000115905
ENSG00000004700	136092
ENSG00000004700	136093
ENSG00000004700	136094
ENSG00000004700	136095
ENSG00000004700	136096
ENSG00000004700	136097
ENSG00000004700	136098
ENSG00000004700	136099
ENSG00000004700	OTTHUMP00000240142
ENSG00000004700	OTTHUMP00000240143
ENSG00000004700	OTTHUMP00000240144
ENSG00000004700	OTTHUMP00000240145
ENSG00000004700	OTTHUMP00000240146
ENSG00000004700	OTTHUMP00000240147
ENSG00000004700	OTTHUMP00000240148
ENSG00000004700	OTTHUMP00000240149
ENSG00000004766	189069
ENSG00000004766	189070
ENSG00000004766	189071
ENSG00000004766	189072
ENSG00000004766	189073
ENSG00000004766	189074
ENSG00000004766	189075
ENSG00000004766	189076
ENSG00000004766	OTTHUMP00000162526
ENSG00000004766	OTTHUMP00000208662
ENSG00000004766	OTTHUMP00000208663
ENSG00000004766	OTTHUMP00000208664
ENSG00000004766	OTTHUMP00000208665
ENSG00000004766	OTTHUMP00000208666
ENSG00000004766	OTTHUMP00000208667
ENSG00000004766	OTTHUMP00000208668
ENSG00000004776	155433
ENSG00000004776	OTTHUMP00000045795
ENSG00000004779	144595
ENSG00000004779	OTTHUMP00000122463
ENSG00000004799	189134
ENSG00000004799	OTTHUMP00000204768
ENSG00000004809	185729
ENSG00000004809	185730
ENSG00000004809	185731
ENSG00000004809	185732
ENSG00000004809	185733
ENSG00000004809	OTTHUMP00000017785
ENSG00000004809	OTTHUMP00000017786
ENSG00000004809	OTTHUMP00000017788
ENSG00000004809	OTTHUMP00000017789
ENSG00000004809	OTTHUMP00000017790
ENSG00000004838	171691
ENSG00000004838	171692
ENSG00000004838	171693
ENSG00000004838	171694
ENSG00000004838	171695
ENSG00000004838	OTTHUMP00000210879
ENSG00000004838	OTTHUMP00000210880
ENSG00000004838	OTTHUMP00000210881
ENSG00000004838	OTTHUMP00000210883
ENSG00000004838	OTTHUMP00000210884
ENSG00000004846	187515
ENSG00000004846	187516
ENSG00000004846	187517
ENSG00000004846	187518
ENSG00000004846	187519
ENSG00000004846	OTTHUMP00000120018
ENSG00000004846	OTTHUMP00000201813
ENSG00000004846	OTTHUMP00000201814
ENSG00000004846	OTTHUMP00000201940
ENSG00000004846	OTTHUMP00000202035
ENSG00000004848	199630
ENSG00000004848	OTTHUMP00000023088
ENSG00000004864	189146
ENSG00000004864	OTTHUMP00000024692
ENSG00000004866	189961
ENSG00000004866	189962
ENSG00000004866	189963
ENSG00000004866	189964
ENSG00000004866	189965
ENSG00000004866	189966
ENSG00000004866	189967
ENSG00000004866	189968
ENSG00000004866	189969
ENSG00000004866	189970
ENSG00000004866	189971
ENSG00000004866	189972
ENSG00000004866	189973
ENSG00000004866	189974
ENSG00000004866	189975
ENSG00000004866	189976
ENSG00000004866	189977
ENSG00000004866	189978
ENSG00000004866	189979
ENSG00000004866	189980
ENSG00000004866	189981
ENSG00000004866	OTTHUMP00000025506
ENSG00000004866	OTTHUMP00000068957
ENSG00000004866	OTTHUMP00000068958
ENSG00000004866	OTTHUMP00000068959
ENSG00000004866	OTTHUMP00000068960
ENSG00000004866	OTTHUMP00000068961
ENSG00000004866	OTTHUMP00000068963
ENSG00000004866	OTTHUMP00000068964
ENSG00000004866	OTTHUMP00000195983
ENSG00000004866	OTTHUMP00000196521
ENSG00000004866	OTTHUMP00000196522
ENSG00000004866	OTTHUMP00000196523
ENSG00000004866	OTTHUMP00000198300
ENSG00000004866	OTTHUMP00000198301
ENSG00000004866	OTTHUMP00000198304
ENSG00000004866	OTTHUMP00000199802
ENSG00000004866	OTTHUMP00000199803
ENSG00000004866	OTTHUMP00000206921
ENSG00000004866	OTTHUMP00000212189
ENSG00000004866	OTTHUMP00000212190
ENSG00000004866	OTTHUMP00000212191
ENSG00000004897	149817
ENSG00000004897	149818
ENSG00000004897	149819
ENSG00000004897	149820
ENSG00000004897	149821
ENSG00000004897	149822
ENSG00000004897	149823
ENSG00000004897	OTTHUMP00000232872
ENSG00000004897	OTTHUMP00000232873
ENSG00000004897	OTTHUMP00000232874
ENSG00000004897	OTTHUMP00000232875
ENSG00000004897	OTTHUMP00000232876
ENSG00000004897	OTTHUMP00000232877
ENSG00000004897	OTTHUMP00000232878
ENSG00000004939	149607
ENSG00000004939	OTTHUMP00000210781
ENSG00000004948	189077
ENSG00000004948	189078
ENSG00000004948	189079
ENSG00000004948	189080
ENSG00000004948	189081
ENSG00000004948	OTTHUMP00000162535
ENSG00000004948	OTTHUMP00000208683
ENSG00000004948	OTTHUMP00000208684
ENSG00000004948	OTTHUMP00000208685
ENSG00000004948	OTTHUMP00000208686
ENSG00000004961	199329
ENSG00000004961	199330
ENSG00000004961	199331
ENSG00000004961	OTTHUMP00000022903
ENSG00000004961	OTTHUMP00000022904
ENSG00000004961	OTTHUMP00000022905
ENSG00000004975	147379
ENSG00000004975	OTTHUMP00000128349
ENSG00000005001	143816
ENSG00000005001	OTTHUMP00000159207
ENSG00000005020	187655
ENSG00000005020	187656
ENSG00000005020	OTTHUMP00000122527
ENSG00000005020	OTTHUMP00000202570
ENSG00000005022	201261
ENSG00000005022	OTTHUMP00000024324
ENSG00000005059	177511
ENSG00000005059	177512
ENSG00000005059	OTTHUMP00000162741
ENSG00000005059	OTTHUMP00000208935
ENSG00000005073	187684
ENSG00000005073	OTTHUMP00000217288
ENSG00000005075	189591
ENSG00000005075	OTTHUMP00000197252
ENSG00000005100	147273
ENSG00000005100	OTTHUMP00000128205
ENSG00000005108	187403
ENSG00000005108	OTTHUMP00000201531
ENSG00000005156	148680
ENSG00000005156	148681
ENSG00000005156	OTTHUMP00000158641
ENSG00000005156	OTTHUMP00000163854
ENSG00000005187	144457
ENSG00000005187	OTTHUMP00000162290
ENSG00000005189	144469
ENSG00000005189	OTTHUMP00000162294
ENSG00000005194	145604
ENSG00000005194	OTTHUMP00000164661
ENSG00000005238	196806
ENSG00000005238	196807
ENSG00000005238	196808
ENSG00000005238	196809
ENSG00000005238	196810
ENSG00000005238	OTTHUMP00000021314
ENSG00000005238	OTTHUMP00000021315
ENSG00000005238	OTTHUMP00000021316
ENSG00000005238	OTTHUMP00000021317
ENSG00000005238	OTTHUMP00000021318
ENSG00000005249	189753
ENSG00000005249	OTTHUMP00000174592
ENSG00000005302	199343
ENSG00000005302	199344
ENSG00000005302	199345
ENSG00000005302	199346
ENSG00000005302	199347
ENSG00000005302	199348
ENSG00000005302	199349
ENSG00000005302	199350
ENSG00000005302	199351
ENSG00000005302	OTTHUMP00000022908
ENSG00000005302	OTTHUMP00000022909
ENSG00000005302	OTTHUMP00000022910
ENSG00000005302	OTTHUMP00000022911
ENSG00000005302	OTTHUMP00000022912
ENSG00000005302	OTTHUMP00000214943
ENSG00000005302	OTTHUMP00000214944
ENSG00000005302	OTTHUMP00000214945
ENSG00000005302	OTTHUMP00000214946
ENSG00000005339	143980
ENSG00000005339	OTTHUMP00000159801
ENSG00000005421	189120
ENSG00000005421	189121
ENSG00000005421	OTTHUMP00000204571
ENSG00000005421	OTTHUMP00000204615
ENSG00000005436	160026
ENSG00000005436	160027
ENSG00000005436	160028
ENSG00000005436	160029
ENSG00000005436	OTTHUMP00000160450
ENSG00000005436	OTTHUMP00000202779
ENSG00000005436	OTTHUMP00000202780
ENSG00000005436	OTTHUMP00000202781
ENSG00000005448	159942
ENSG00000005448	159943
ENSG00000005448	159944
ENSG00000005448	OTTHUMP00000160409
ENSG00000005448	OTTHUMP00000202528
ENSG00000005448	OTTHUMP00000202529
ENSG00000005469	188884
ENSG00000005469	188885
ENSG00000005469	188886
ENSG00000005469	188887
ENSG00000005469	OTTHUMP00000161500
ENSG00000005469	OTTHUMP00000205461
ENSG00000005469	OTTHUMP00000205462
ENSG00000005469	OTTHUMP00000205463
ENSG00000005471	188888
ENSG00000005471	188889
ENSG00000005471	188890
ENSG00000005471	188891
ENSG00000005471	188892
ENSG00000005471	OTTHUMP00000161613
ENSG00000005471	OTTHUMP00000205513
ENSG00000005471	OTTHUMP00000206137
ENSG00000005471	OTTHUMP00000207760
ENSG00000005471	OTTHUMP00000210458
ENSG00000005483	189693
ENSG00000005483	189694
ENSG00000005483	189695
ENSG00000005483	189696
ENSG00000005483	189697
ENSG00000005483	189698
ENSG00000005483	189699
ENSG00000005483	189700
ENSG00000005483	189701
ENSG00000005483	OTTHUMP00000212083
ENSG00000005483	OTTHUMP00000212084
ENSG00000005483	OTTHUMP00000212085
ENSG00000005483	OTTHUMP00000212086
ENSG00000005483	OTTHUMP00000212087
ENSG00000005483	OTTHUMP00000212088
ENSG00000005483	OTTHUMP00000212089
ENSG00000005483	OTTHUMP00000212090
ENSG00000005483	OTTHUMP00000212091
ENSG00000005486	188681
ENSG00000005486	188682
ENSG00000005486	188683
ENSG00000005486	OTTHUMP00000209879
ENSG00000005486	OTTHUMP00000209880
ENSG00000005486	OTTHUMP00000209882
ENSG00000005513	143489
ENSG00000005513	OTTHUMP00000151195
ENSG00000005700	185268
ENSG00000005700	185269
ENSG00000005700	185270
ENSG00000005700	185271
ENSG00000005700	185272
ENSG00000005700	OTTHUMP00000016784
ENSG00000005700	OTTHUMP00000220769
ENSG00000005700	OTTHUMP00000220770
ENSG00000005700	OTTHUMP00000220771
ENSG00000005700	OTTHUMP00000220772
ENSG00000005801	129098
ENSG00000005801	129099
ENSG00000005801	129100
ENSG00000005801	129101
ENSG00000005801	129102
ENSG00000005801	129103
ENSG00000005801	129104
ENSG00000005801	129105
ENSG00000005801	129106
ENSG00000005801	129107
ENSG00000005801	129108
ENSG00000005801	129109
ENSG00000005801	129110
