GeneID	Symbol
378465	HSN2
5988	RFPL1
5989	RFX1
83892	KCTD10
5982	RFC2
5983	RFC3
5980	REV3L
5981	RFC1
5986	RFNG
5987	TRIM27
5984	RFC4
5985	RFC5
146542	ZNF688
100132678	RPL7AP45
120126	UBTFL2
53905	DUOX1
260293	CYP4X1
260294	NSUN5C
270	AMPD1
271	AMPD2
272	AMPD3
273	AMPH
274	BIN1
275	AMT
276	AMY1A
277	AMY1B
278	AMY1C
279	AMY2A
286238	LOC286238
153770	PLAC8L1
63027	SLC22A23
9258	MFHAS1
9256	BZRAP1
9254	CACNA2D2
9255	SCYE1
9252	RPS6KA5
9253	NUMBL
124359	CDYL2
387856	C12orf68
90313	TP53I13
90316	TGIF2LX
90317	ZNF616
112950	MED8
100134095	LOC100134095
256297	PTF1A
100134091	LOC100134091
285154	C2orf58
285150	FLJ33534
256126	SYCE2
651721	LOC651721
29765	TMOD4
29767	TMOD2
29766	TMOD3
29761	USP25
29760	BLNK
29763	PACSIN3
1176	AP3S1
1175	AP2S1
1174	AP1S1
1173	AP2M1
23509	POFUT1
23508	TTC9
23507	LRRC8B
23506	KIAA0240
23505	TMEM131
23504	RIMBP2
23503	ZFYVE26
100131914	LOC100131914
1179	CLCA1
1178	CLC
169026	SLC30A8
388677	NOTCH2NL
622	BDH1
729974	LOC729974
283651	C15orf21
283652	SLC24A5
8549	LGR5
8548	BLZF1
8545	CGGBP1
8544	PIR
8547	FCN3
8546	AP3B1
8541	PPFIA3
8540	AGPS
8543	LMO4
8542	APOL1
624	BDKRB2
145438	C14orf82
727918	LOC727918
55629	PNRC2
55628	ZNF407
374920	C19orf68
55623	THUMPD1
55622	TTC27
55621	TRMT1
55620	STAP2
55627	SMPD4
55626	AMBRA1
55625	ZDHHC7
55624	POMGNT1
389073	C2orf80
389072	PLEKHM3
389075	RESP18
728715	LOC728715
728716	hCG_2036596
728712	SPANXA2
127731	VWA5B1
127733	UBXN10
65268	WNK2
65264	UBE2Z
65265	C8orf33
65266	WNK4
65267	WNK3
65260	C1orf163
