HMDB00001	332-80-9
HMDB00002	109-76-2
HMDB00005	600-18-0
HMDB00008	600-15-7
HMDB00010	362-08-3
HMDB00011	625-72-9
HMDB00012	951-78-0
HMDB00014	951-77-9
HMDB00015	152-58-9
HMDB00016	64-85-7
HMDB00017	82-82-6
HMDB00019	759-05-7
HMDB00020	156-38-7
HMDB00021	70-78-0
HMDB00022	554-52-9
HMDB00023	2068-83-9
HMDB00024	151122-71-3
HMDB00026	462-88-4
HMDB00027	17528-72-2
HMDB00030	58-85-5
HMDB00031	53-41-8
HMDB00032	434-16-2
HMDB00033	305-84-0
HMDB00034	73-24-5
HMDB00036	81-24-3
HMDB00037	52-39-1
HMDB00038	6779-87-9
HMDB00039	107-92-6
HMDB00042	64-19-7
HMDB00043	107-43-7
HMDB00044	50-81-7
HMDB00045	61-19-8
HMDB00048	585-99-9
HMDB00050	58-61-7
HMDB00051	7664-41-7
HMDB00052	2387-71-5
HMDB00053	63-05-8
HMDB00054	635-65-4
HMDB00055	528-50-7
HMDB00056	107-95-9
HMDB00058	60-92-4
HMDB00060	541-50-4
HMDB00061	1053-73-2
HMDB00062	541-15-1
HMDB00063	50-23-7
HMDB00064	57-00-1
HMDB00067	57-88-5
HMDB00068	51-43-4
HMDB00070	535-75-1
HMDB00071	890-38-0
HMDB00072	585-84-2
HMDB00073	62-31-7
HMDB00076	504-07-4
HMDB00077	53-43-0
HMDB00078	19246-18-5
HMDB00079	696-04-8
HMDB00082	65-47-4
HMDB00085	961-07-9
HMDB00086	28319-77-9
HMDB00087	124-40-3
HMDB00089	65-46-3
HMDB00092	1118-68-9
HMDB00094	77-92-9
HMDB00095	63-37-6
HMDB00097	62-49-7
HMDB00098	58-86-6
HMDB00099	56-88-2
HMDB00101	958-09-8
HMDB00107	608-66-2
HMDB00108	64-17-5
HMDB00112	56-12-2
HMDB00114	1190-00-7
HMDB00115	79-14-1
HMDB00118	306-08-1
HMDB00119	298-12-4
HMDB00121	59-30-3
HMDB00122	50-99-7
HMDB00123	56-40-6
HMDB00124	643-13-0
HMDB00125	70-18-8
HMDB00126	57-03-4
HMDB00127	6556-12-3
HMDB00128	352-97-6
HMDB00130	451-13-8
HMDB00131	56-81-5
HMDB00132	73-40-5
HMDB00133	118-00-3
HMDB00134	110-17-8
HMDB00138	475-31-0
HMDB00139	473-81-4
HMDB00140	85305-87-9
HMDB00142	64-18-6
HMDB00143	59-23-4
HMDB00145	53-16-7
HMDB00148	56-86-0
HMDB00149	141-43-5
HMDB00150	90-80-2
HMDB00151	50-28-2
HMDB00152	490-79-9
HMDB00153	50-27-1
HMDB00156	97-67-6
HMDB00157	68-94-0
HMDB00158	60-18-4
HMDB00159	63-91-2
HMDB00161	56-41-7
HMDB00162	147-85-3
HMDB00163	69-79-4
HMDB00164	74-89-5
HMDB00167	72-19-5
HMDB00168	70-47-3
HMDB00169	3458-28-4
HMDB00172	73-32-5
HMDB00174	2438-80-4
HMDB00175	131-99-7
HMDB00176	110-16-7
HMDB00177	71-00-1
HMDB00181	59-92-7
HMDB00182	56-87-1
HMDB00186	63-42-3
HMDB00187	56-45-1
HMDB00189	132-06-9
HMDB00190	79-33-4
HMDB00191	56-84-8
HMDB00192	56-89-3
HMDB00193	320-77-4
HMDB00194	584-85-0
HMDB00195	58-63-9
HMDB00197	87-51-4
HMDB00201	3040-38-8
HMDB00202	516-05-2
HMDB00205	156-06-9
HMDB00206	692-04-6
HMDB00207	112-80-1
HMDB00208	328-50-7
HMDB00209	103-82-2
HMDB00210	79-83-4
HMDB00211	87-89-8
HMDB00212	1811-31-0
HMDB00213	573-35-3
HMDB00214	70-26-8
HMDB00215	7512-17-6
HMDB00216	51-41-2
HMDB00217	53-59-8
HMDB00218	2149-82-8
HMDB00220	57-10-3
HMDB00221	53-57-6
HMDB00222	2364-67-2
HMDB00223	328-42-7
HMDB00224	1071-23-4
HMDB00225	3184-35-8
HMDB00226	65-86-1
HMDB00227	150-97-0
HMDB00228	108-95-2
HMDB00229	1094-61-7
HMDB00230	131-48-6
HMDB00232	89-00-9
HMDB00234	58-22-0
HMDB00235	59-43-8
HMDB00237	79-09-4
HMDB00238	17094-01-8
HMDB00239	65-23-6
HMDB00240	14265-45-3
HMDB00241	553-12-8
HMDB00243	127-17-3
HMDB00244	83-88-5
HMDB00245	487-90-1
HMDB00246	109-99-9
HMDB00247	50-70-4
HMDB00248	51-48-9
HMDB00250	14000-31-8
HMDB00251	107-35-7
HMDB00252	123-78-4
HMDB00253	145-13-1
HMDB00254	110-15-6
HMDB00256	111-02-4
HMDB00257	14383-50-7
HMDB00258	57-50-1
HMDB00259	50-67-9
HMDB00262	65-71-4
HMDB00263	138-08-9
HMDB00265	6893-02-3
HMDB00267	98-79-3
HMDB00268	68-42-8
HMDB00269	764-22-7
HMDB00271	107-97-1
HMDB00272	407-41-0
HMDB00273	50-89-5
HMDB00277	26993-30-6
HMDB00279	997-68-2
HMDB00280	7540-64-9
HMDB00283	50-69-1
HMDB00285	63-39-8
HMDB00286	133-89-1
HMDB00288	58-97-9
HMDB00289	69-93-2
HMDB00290	528-04-1
HMDB00291	55-10-7
HMDB00292	69-89-6
HMDB00293	6253-56-1
HMDB00294	57-13-6
HMDB00295	58-98-0
HMDB00296	58-96-8
HMDB00299	146-80-5
HMDB00300	66-22-8
HMDB00301	104-98-3
HMDB00302	2956-16-3
HMDB00303	61-54-1
HMDB00304	7277-98-7
HMDB00305	68-26-8
HMDB00306	51-67-2
HMDB00307	80875-94-1
HMDB00308	5255-17-4
HMDB00309	60828-06-0
HMDB00310	105-45-3
HMDB00311	129099-70-3
HMDB00312	71883-64-2
HMDB00313	966-06-3
HMDB00314	651-43-4
HMDB00315	520-88-7
HMDB00316	60696-60-8
HMDB00317	488-15-3
HMDB00318	28822-73-3
HMDB00319	561-65-9
HMDB00320	117590-81-5
HMDB00321	18294-85-4
HMDB00322	1159-66-6
HMDB00323	1892-22-4
HMDB00324	14167-51-2
HMDB00325	73141-47-6
HMDB00326	80434-32-8
