Ensembl ID	PDB ID
ENSG00000000971	1FHC
ENSG00000000971	1HAQ
ENSG00000000971	1HCC
ENSG00000000971	1HFH
ENSG00000000971	1HFI
ENSG00000000971	1KOV
ENSG00000000971	2BZM
ENSG00000000971	2G7I
ENSG00000000971	2IC4
ENSG00000000971	2JGW
ENSG00000000971	2JGX
ENSG00000000971	2KMS
ENSG00000000971	2QFG
ENSG00000000971	2QFH
ENSG00000000971	2RLP
ENSG00000000971	2RLQ
ENSG00000000971	2UWN
ENSG00000000971	2V8E
ENSG00000000971	2W80
ENSG00000000971	2W81
ENSG00000000971	2WII
ENSG00000000971	3GAU
ENSG00000000971	3GAV
ENSG00000000971	3GAW
ENSG00000000971	3KXV
ENSG00000000971	3KZJ
ENSG00000001626	1NBD
ENSG00000001626	1XMI
ENSG00000001626	1XMJ
ENSG00000001626	2BBO
ENSG00000001626	2BBS
ENSG00000001626	2BBT
ENSG00000001626	2PZE
ENSG00000001626	2PZF
ENSG00000001626	2PZG
ENSG00000001626	3GD7
ENSG00000001626	3ISW
ENSG00000001630	3JUS
ENSG00000001630	3JUV
ENSG00000001630	3LD6
ENSG00000002016	1H2I
ENSG00000002016	1KN0
ENSG00000002330	1G5J
ENSG00000002587	1ZRH
ENSG00000002726	3HI7
ENSG00000002726	3HIG
ENSG00000002726	3HII
ENSG00000002726	3K5T
ENSG00000002726	3MPH
ENSG00000002746	3L4H
ENSG00000002834	3I35
ENSG00000003402	3H11
ENSG00000003402	3H13
ENSG00000003436	1ADZ
ENSG00000003436	1IRH
ENSG00000003436	1TFX
ENSG00000004059	2B6H
ENSG00000004399	3H6N
ENSG00000004455	2C9Y
ENSG00000004468	1YH3
ENSG00000004468	1ZVM
ENSG00000004468	2EF1
ENSG00000004468	2HCT
ENSG00000004468	2I65
ENSG00000004468	2I66
ENSG00000004468	2I67
ENSG00000004468	2O3Q
ENSG00000004468	2O3R
ENSG00000004468	2O3S
ENSG00000004468	2O3T
ENSG00000004468	2O3U
ENSG00000004468	2PGJ
ENSG00000004468	2PGL
ENSG00000004468	3DZF
ENSG00000004468	3DZG
ENSG00000004468	3DZH
ENSG00000004468	3DZI
ENSG00000004468	3DZJ
ENSG00000004468	3DZK
ENSG00000004468	3F6Y
ENSG00000004468	3I9M
ENSG00000004468	3I9N
ENSG00000004478	1N1A
ENSG00000004478	1P5Q
ENSG00000004478	1Q1C
ENSG00000004478	1QZ2
ENSG00000004487	2COM
ENSG00000004487	2DW4
ENSG00000004487	2EJR
ENSG00000004487	2H94
ENSG00000004487	2HKO
ENSG00000004487	2IW5
ENSG00000004487	2UXN
ENSG00000004487	2UXX
ENSG00000004487	2V1D
ENSG00000004487	2X0L
ENSG00000004487	2XAF
ENSG00000004487	2XAG
ENSG00000004487	2XAH
ENSG00000004487	2XAJ
ENSG00000004487	2XAQ
ENSG00000004487	2XAS
ENSG00000004487	2Z3Y
ENSG00000004487	2Z5U
ENSG00000004487	3ABT
ENSG00000004487	3ABU
ENSG00000004700	2V1X
ENSG00000004700	2WWY
ENSG00000004779	2DNW
ENSG00000004799	2E0A
ENSG00000004799	2ZDX
ENSG00000004799	2ZDY
ENSG00000004799	2ZKJ
ENSG00000004799	3D2R
ENSG00000004838	2D8Q
ENSG00000004838	2DAN
ENSG00000004939	1BH7
ENSG00000004939	1BNX
ENSG00000004939	1BTQ
ENSG00000004939	1BTR
ENSG00000004939	1BTS
ENSG00000004939	1BTT
ENSG00000004939	1BZK
ENSG00000004939	1HYN
ENSG00000004939	2BTA
ENSG00000004939	2BTB
ENSG00000004939	3BTB
ENSG00000004975	2REY
ENSG00000004975	3CBX
ENSG00000004975	3CBY
ENSG00000004975	3CBZ
ENSG00000004975	3CC0
ENSG00000005007	2GJK
ENSG00000005007	2GK6
ENSG00000005007	2GK7
ENSG00000005007	2IYK
ENSG00000005007	2WJV
ENSG00000005007	2WJY
ENSG00000005156	1IMO
ENSG00000005156	1IN1
ENSG00000005156	1UW0
ENSG00000005156	3L2P
ENSG00000005194	2YUI
ENSG00000005302	3OA6
ENSG00000005302	3OB9
ENSG00000005339	1JSP
ENSG00000005339	1LIQ
ENSG00000005339	1WO3
ENSG00000005339	1WO4
ENSG00000005339	1WO5
ENSG00000005339	1WO6
ENSG00000005339	1WO7
ENSG00000005339	1ZOQ
ENSG00000005339	2D82
ENSG00000005339	2KJE
ENSG00000005339	2RNY
ENSG00000005339	3DWY
ENSG00000005381	1CXP
ENSG00000005381	1D2V
ENSG00000005381	1D5L
ENSG00000005381	1D7W
ENSG00000005381	1DNU
ENSG00000005381	1DNW
ENSG00000005381	1MHL
ENSG00000005381	1MYP
ENSG00000005381	3F9P
ENSG00000005421	1V04
ENSG00000005421	1XHR
ENSG00000005844	1CQP
ENSG00000005844	1DGQ
ENSG00000005844	1IJ4
ENSG00000005844	1LFA
ENSG00000005844	1MJN
ENSG00000005844	1MQ8
ENSG00000005844	1MQ9
ENSG00000005844	1MQA
ENSG00000005844	1RD4
ENSG00000005844	1T0P
ENSG00000005844	1XDD
ENSG00000005844	1XDG
ENSG00000005844	1XUO
ENSG00000005844	1ZON
ENSG00000005844	1ZOO
ENSG00000005844	1ZOP
ENSG00000005844	2ICA
ENSG00000005844	2K8O
ENSG00000005844	2O7N
ENSG00000005844	3BN3
ENSG00000005844	3BQM
ENSG00000005844	3BQN
ENSG00000005844	3E2M
ENSG00000005844	3EOA
ENSG00000005844	3EOB
ENSG00000005844	3F74
ENSG00000005844	3F78
ENSG00000005844	3HI6
ENSG00000005844	3M6F
ENSG00000005882	2BTZ
ENSG00000005882	2BU2
ENSG00000005882	2BU5
ENSG00000005882	2BU6
ENSG00000005882	2BU7
ENSG00000005882	2BU8
ENSG00000005961	1DPK
ENSG00000005961	1DPQ
ENSG00000005961	1JX5
ENSG00000005961	1KUP
ENSG00000005961	1KUZ
ENSG00000005961	1M8O
ENSG00000005961	1RN0
ENSG00000005961	1S4W
ENSG00000005961	1TYE
ENSG00000005961	1UV9
