EntrezGene	Ensembl
114787	ENSG00000169258
114786	ENSG00000206579
114785	ENSG00000166987
114784	ENSG00000121904
114783	ENSG00000142235
221545	ENSG00000204564
221545	ENSG00000206487
221545	ENSG00000224120
221545	ENSG00000233164
221545	ENSG00000233641
221545	ENSG00000237012
221545	ENSG00000237100
114781	ENSG00000183826
114780	ENSG00000166473
143888	ENSG00000178202
114789	ENSG00000148339
114788	ENSG00000164796
28996	ENSG00000064393
28991	ENSG00000170619
28990	ENSG00000034533
3447	ENSG00000233816
28992	ENSG00000133315
28999	ENSG00000163884
28998	ENSG00000172172
282969	ENSG00000148803
55290	ENSG00000104221
55291	ENSG00000110075
55296	ENSG00000109680
55297	ENSG00000123106
55294	ENSG00000109670
55295	ENSG00000167487
5982	ENSG00000049541
5983	ENSG00000133119
51265	ENSG00000006837
5981	ENSG00000035928
5986	ENSG00000169733
5987	ENSG00000204713
5987	ENSG00000215641
5987	ENSG00000229006
5987	ENSG00000234495
5987	ENSG00000237071
5984	ENSG00000163918
51260	ENSG00000102390
55344	ENSG00000182378
83890	ENSG00000145757
55345	ENSG00000138658
83897	ENSG00000212900
64711	ENSG00000162040
55346	ENSG00000176148
83896	ENSG00000212901
51479	ENSG00000185722
55615	ENSG00000186654
642132	ENSG00000169855
83895	ENSG00000221852
57480	ENSG00000120278
339883	ENSG00000198590
55340	ENSG00000196329
23742	ENSG00000185823
55613	ENSG00000102043
967	ENSG00000135404
128876	ENSG00000125998
55342	ENSG00000165209
392376	ENSG00000257019
960	ENSG00000026508
170575	ENSG00000213203
338339	ENSG00000166527
83547	ENSG00000167705
57484	ENSG00000170153
85459	ENSG00000166004
6794	ENSG00000118046
6795	ENSG00000105146
6792	ENSG00000008086
6793	ENSG00000072786
6790	ENSG00000087586
348378	ENSG00000182183
963	ENSG00000143119
286097	ENSG00000155970
83540	ENSG00000143228
56121	ENSG00000113248
55584	ENSG00000174343
56122	ENSG00000120327
56125	ENSG00000197479
56124	ENSG00000120328
56127	ENSG00000120324
56126	ENSG00000120324
56129	ENSG00000113212
56128	ENSG00000120322
402055	ENSG00000100104
282966	ENSG00000178645
283807	ENSG00000197361
148156	ENSG00000167785
10615	ENSG00000076382
57292	ENSG00000215764
4641	ENSG00000197879
100510058	ENSG00000186063
260293	ENSG00000186377
2147	ENSG00000180210
100510050	ENSG00000226321
165829	ENSG00000175697
270	ENSG00000116748
271	ENSG00000116337
272	ENSG00000133805
273	ENSG00000078053
55832	ENSG00000111530
55833	ENSG00000137073
55830	ENSG00000016864
55831	ENSG00000125037
278	ENSG00000174876
278	ENSG00000187733
278	ENSG00000237763
279	ENSG00000243480
55839	ENSG00000166451
100506607	ENSG00000147996
100506607	ENSG00000196873
100506607	ENSG00000215126
387328	ENSG00000188801
81850	ENSG00000221880
2558	ENSG00000186297
3446	ENSG00000186803
124944	ENSG00000161939
504189	ENSG00000172199
389208	ENSG00000198092
1371	ENSG00000080819
81671	ENSG00000062716
196074	ENSG00000169519
389206	ENSG00000188848
389207	ENSG00000215203
221960	ENSG00000122674
221960	ENSG00000146574
63027	ENSG00000137266
57478	ENSG00000103404
57479	ENSG00000126464
9258	ENSG00000147324
2559	ENSG00000145863
9256	ENSG00000005379
57475	ENSG00000054690
9254	ENSG00000007402
9527	ENSG00000108587
9252	ENSG00000100784
9253	ENSG00000105245
57472	ENSG00000113300
57473	ENSG00000196700
7620	ENSG00000198429
5989	ENSG00000132005
1370	ENSG00000178772
81858	ENSG00000179526
378807	ENSG00000188782
199692	ENSG00000198551
84126	ENSG00000164053
84127	ENSG00000140660
84124	ENSG00000160908
84125	ENSG00000133640
284021	ENSG00000256743
84128	ENSG00000115368
746	ENSG00000134825
255104	ENSG00000162542
1212	ENSG00000175416
26022	ENSG00000006042
26020	ENSG00000197324
64902	ENSG00000113492
64900	ENSG00000132793
26024	ENSG00000106246
26024	ENSG00000248919
124359	ENSG00000166446
388646	ENSG00000213512
5980	ENSG00000009413
56624	ENSG00000188611
646962	ENSG00000196196
100506322	ENSG00000215394
100506322	ENSG00000244306
51264	ENSG00000108826
114769	ENSG00000204397
51263	ENSG00000185414
51263	ENSG00000241962
133690	ENSG00000152611
7789	ENSG00000198205
1213	ENSG00000141367
22874	ENSG00000143850
22875	ENSG00000001561
22876	ENSG00000198825
147872	ENSG00000161609
22870	ENSG00000105063
22871	ENSG00000169760
22872	ENSG00000138674
22873	ENSG00000134874
5985	ENSG00000111445
22878	ENSG00000153339
22879	ENSG00000103111
84698	ENSG00000180881
84699	ENSG00000060566
138046	ENSG00000184672
84690	ENSG00000141255
3512	ENSG00000132465
84692	ENSG00000138483
84693	ENSG00000124370
84694	ENSG00000135355
84695	ENSG00000115318
84696	ENSG00000143994
100293160	ENSG00000196262
160897	ENSG00000152749
2688	ENSG00000204414
2689	ENSG00000136487
90316	ENSG00000153779
90317	ENSG00000204611
2686	ENSG00000131067
2687	ENSG00000099998
90993	ENSG00000157613
2683	ENSG00000086062
3441	ENSG00000236637
1613	ENSG00000167657
285848	ENSG00000180316
98	ENSG00000170634
59348	ENSG00000256683
91	ENSG00000135503
90	ENSG00000115170
93	ENSG00000114739
92	ENSG00000121989
95	ENSG00000114786
95	ENSG00000243989
50640	ENSG00000135241
97	ENSG00000119640
134553	ENSG00000181904
92691	ENSG00000163449
283847	ENSG00000177461
400831	ENSG00000215595
400830	ENSG00000186458
256297	ENSG00000168267
100134091	ENSG00000220023
2869	ENSG00000198873
83479	ENSG00000118197
83478	ENSG00000138639
402381	ENSG00000165643
83475	ENSG00000129932
83473	ENSG00000167216
100505587	ENSG00000226138
1376	ENSG00000157184
152877	ENSG00000174137
256126	ENSG00000161860
57594	ENSG00000215271
23300	ENSG00000166454
961	ENSG00000196776
57493	ENSG00000173706
390264	ENSG00000254737
390265	ENSG00000182634
390260	ENSG00000221931
129450	ENSG00000162971
133522	ENSG00000155846
29765	ENSG00000163157
29767	ENSG00000128872
29766	ENSG00000138594
29761	ENSG00000155313
29760	ENSG00000095585
29763	ENSG00000165912
79192	ENSG00000170549
1176	ENSG00000177879
1175	ENSG00000042753
1174	ENSG00000106367
23059	ENSG00000103351
79191	ENSG00000177508
23509	ENSG00000101346
23508	ENSG00000133985
23507	ENSG00000197147
23506	ENSG00000112624
23505	ENSG00000075568
23504	ENSG00000060709
23503	ENSG00000072121
1179	ENSG00000016490
1178	ENSG00000105205
56975	ENSG00000177706
158809	ENSG00000176746
169026	ENSG00000164756
29925	ENSG00000173540
100287466	ENSG00000235961
100287466	ENSG00000257088
79843	ENSG00000124019
338949	ENSG00000187806
29923	ENSG00000135245
56971	ENSG00000186567
196415	ENSG00000226397
29922	ENSG00000143156
7188	ENSG00000082512
29108	ENSG00000103490
388677	ENSG00000213240
7180	ENSG00000124490
7181	ENSG00000120798
29103	ENSG00000120675
29102	ENSG00000113360
29105	ENSG00000070761
7185	ENSG00000056558
7186	ENSG00000127191
29106	ENSG00000104112
91687	ENSG00000120334
875	ENSG00000160200
91683	ENSG00000173227
89858	ENSG00000254521
79849	ENSG00000172367
100287364	ENSG00000250844
91689	ENSG00000183172
26149	ENSG00000196409
873	ENSG00000159228
283652	ENSG00000188467
8549	ENSG00000139292
8548	ENSG00000117475
8019	ENSG00000169925
8545	ENSG00000163320
8544	ENSG00000087842
8547	ENSG00000142748
22954	ENSG00000119401
8013	ENSG00000119508
8540	ENSG00000018510
8543	ENSG00000143013
8542	ENSG00000100342
7456	ENSG00000115935
2741	ENSG00000145888
7454	ENSG00000015285
7455	ENSG00000146839
7453	ENSG00000140105
7450	ENSG00000110799
2740	ENSG00000112164
123036	ENSG00000165929
644634	ENSG00000203815
624	ENSG00000168398
203069	ENSG00000104679
7458	ENSG00000106682
2658	ENSG00000128802
23657	ENSG00000151012
4591	ENSG00000108395
4848	ENSG00000111596
84720	ENSG00000165282
4849	ENSG00000088038
65080	ENSG00000135900
65082	ENSG00000139719
65083	ENSG00000165271
65084	ENSG00000166575
162515	ENSG00000174326
374920	ENSG00000185453
55623	ENSG00000066654
55622	ENSG00000018699
55621	ENSG00000104907
4595	ENSG00000132781
55627	ENSG00000136699
55334	ENSG00000029364
55337	ENSG00000130813
55624	ENSG00000085998
10884	ENSG00000112996
10885	ENSG00000065183
10886	ENSG00000056291
10887	ENSG00000169618
84904	ENSG00000137135
84905	ENSG00000131061
10882	ENSG00000131094
84908	ENSG00000035141
84909	ENSG00000148120
23122	ENSG00000163539
10888	ENSG00000123901
4846	ENSG00000164867
117608	ENSG00000178338
6536	ENSG00000196517
50674	ENSG00000122859
2318	ENSG00000128591
221154	ENSG00000165487
92086	ENSG00000149435
2319	ENSG00000132589
8293	ENSG00000172058
