Ensembl ID	shares_CDS_and_UTR_with_OTTT ID
ENSG00000000003	OTTHUMT00000057483
ENSG00000000005	OTTHUMT00000057481
ENSG00000000419	OTTHUMT00000079716
ENSG00000000457	OTTHUMT00000087548
ENSG00000000460	OTTHUMT00000087126
ENSG00000000460	OTTHUMT00000087127
ENSG00000000460	OTTHUMT00000087235
ENSG00000000938	ENST00000399173
ENSG00000000938	OTTHUMT00000009772
ENSG00000000938	OTTHUMT00000009773
ENSG00000000971	OTTHUMT00000086412
ENSG00000001036	OTTHUMT00000042521
ENSG00000001084	OTTHUMT00000359710
ENSG00000001167	OTTHUMT00000040496
ENSG00000001167	OTTHUMT00000040497
ENSG00000001460	ENST00000337248
ENSG00000001460	OTTHUMT00000009171
ENSG00000001460	OTTHUMT00000009172
ENSG00000001460	OTTHUMT00000009174
ENSG00000001461	OTTHUMT00000276996
ENSG00000001497	OTTHUMT00000056972
ENSG00000001497	OTTHUMT00000056974
ENSG00000001497	OTTHUMT00000056975
ENSG00000001561	ENST00000321037
ENSG00000001561	OTTHUMT00000040777
ENSG00000001617	OTTHUMT00000345929
ENSG00000001626	OTTHUMT00000059397
ENSG00000001629	OTTHUMT00000342018
ENSG00000001630	OTTHUMT00000253812
ENSG00000001630	OTTHUMT00000342054
ENSG00000001631	OTTHUMT00000253910
ENSG00000001631	OTTHUMT00000342030
ENSG00000001631	OTTHUMT00000342032
ENSG00000002016	OTTHUMT00000206733
ENSG00000002016	OTTHUMT00000397916
ENSG00000002330	OTTHUMT00000259179
ENSG00000002330	OTTHUMT00000259180
ENSG00000002549	OTTHUMT00000250365
ENSG00000002586	OTTHUMT00000055624
ENSG00000002586	OTTHUMT00000055626
ENSG00000002587	OTTHUMT00000207073
ENSG00000002726	OTTHUMT00000350620
ENSG00000002726	OTTHUMT00000350621
ENSG00000002745	OTTHUMT00000346843
ENSG00000002745	OTTHUMT00000346844
ENSG00000002746	OTTHUMT00000250893
ENSG00000002746	OTTHUMT00000338775
ENSG00000002746	OTTHUMT00000338776
ENSG00000002822	OTTHUMT00000322869
ENSG00000002822	OTTHUMT00000322870
ENSG00000002834	OTTHUMT00000256890
ENSG00000002933	OTTHUMT00000350219
ENSG00000003056	OTTHUMT00000399130
ENSG00000003137	OTTHUMT00000251969
ENSG00000003137	OTTHUMT00000327529
ENSG00000003147	ENST00000406470
ENSG00000003147	OTTHUMT00000324793
ENSG00000003147	OTTHUMT00000324796
ENSG00000003147	OTTHUMT00000324886
ENSG00000003249	OTTHUMT00000272872
ENSG00000003249	OTTHUMT00000272873
ENSG00000003393	OTTHUMT00000335562
ENSG00000003393	OTTHUMT00000335999
ENSG00000003400	OTTHUMT00000256272
ENSG00000003400	OTTHUMT00000256273
ENSG00000003400	OTTHUMT00000256274
ENSG00000003400	OTTHUMT00000336846
ENSG00000003400	OTTHUMT00000336848
ENSG00000003402	OTTHUMT00000256276
ENSG00000003402	OTTHUMT00000336696
ENSG00000003402	OTTHUMT00000336697
ENSG00000003402	OTTHUMT00000336700
ENSG00000003402	OTTHUMT00000336701
ENSG00000003402	OTTHUMT00000336702
ENSG00000003436	ENST00000233156
