Ensembl ID	MEROPS ID
ENSG00000002549	M17.001
ENSG00000003400	C14.011
ENSG00000003402	C14.971
ENSG00000003436	I02.011
ENSG00000003436	I02.012
ENSG00000003436	I02.950
ENSG00000005001	S01.252
ENSG00000005206	A22.004
ENSG00000005486	S54.955
ENSG00000007038	S01.011
ENSG00000007384	S54.952
ENSG00000008018	T01.986
ENSG00000008277	M12.978
ENSG00000008516	M10.024
ENSG00000008710	T06.001
ENSG00000009724	S01.229
ENSG00000010256	M16.973
ENSG00000010256	M16.981
ENSG00000010438	S01.174
ENSG00000011198	S33.975
ENSG00000011478	M28.016
ENSG00000012174	M50.001
ENSG00000012223	S60.001
ENSG00000012223	S60.970
ENSG00000014216	C02.001
ENSG00000015413	M19.001
ENSG00000019582	I31.002
ENSG00000019991	S01.976
ENSG00000019995	C64.004
ENSG00000021355	I04.006
ENSG00000021826	C26.951
ENSG00000023445	I32.003
ENSG00000027001	M03.006
ENSG00000035862	I35.002
ENSG00000036672	C19.013
ENSG00000038002	T02.001
ENSG00000038295	M12.016
ENSG00000041357	T01.973
ENSG00000042832	I31.950
ENSG00000042832	S09.978
ENSG00000042980	M12.224
ENSG00000048028	C19.054
ENSG00000049192	M12.230
ENSG00000052344	S01.159
ENSG00000055483	C19.042
ENSG00000057593	S01.215
ENSG00000058056	C19.012
ENSG00000064012	C14.009
ENSG00000064313	M01.972
ENSG00000064601	S10.002
ENSG00000066427	C86.001
ENSG00000068308	C85.001
ENSG00000069122	S63.022
ENSG00000069206	M12.956
ENSG00000070404	I01.968
ENSG00000070669	C44.974
ENSG00000072071	S63.013
ENSG00000072274	M28.972
ENSG00000072657	M01.008
ENSG00000072832	M38.974
ENSG00000073670	M12.976
ENSG00000074416	S33.980
ENSG00000074603	S09.018
ENSG00000075275	S63.015
ENSG00000077254	C19.037
ENSG00000077274	C02.971
ENSG00000077616	M28.012
ENSG00000077984	I25.007
ENSG00000078098	S09.007
ENSG00000078618	M16.005
ENSG00000078618	M16.983
ENSG00000079257	I47.001
ENSG00000079387	C48.002
ENSG00000079435	S09.993
ENSG00000080618	M14.009
ENSG00000080815	A22.001
ENSG00000083799	C67.001
ENSG00000084073	M48.003
ENSG00000084234	I02.016
ENSG00000084693	M14.025
ENSG00000084774	C26.952
ENSG00000084774	M38.972
ENSG00000085377	S09.001
ENSG00000085982	C19.069
ENSG00000086205	M28.010
ENSG00000087085	S09.979
ENSG00000087116	M12.301
ENSG00000087128	S01.021
ENSG00000087245	M10.003
ENSG00000087303	I31.001
ENSG00000088882	M14.952
ENSG00000088926	S01.213
ENSG00000089123	T02.004
ENSG00000089220	I51.002
ENSG00000089685	I32.005
ENSG00000089723	C65.002
ENSG00000090686	C19.068
ENSG00000091513	S60.972
ENSG00000091513	S60.975
ENSG00000091704	M14.001
ENSG00000092009	S01.140
ENSG00000092094	M22.003
ENSG00000092201	M24.974
ENSG00000092529	C02.004
ENSG00000092964	M38.975
ENSG00000095587	M12.018
ENSG00000095917	S01.054
