Ensembl ID	Uniprot-SPTREMBL ID
ENSG00000000003	O43657
ENSG00000000005	Q9H2S6
ENSG00000000419	O60762
ENSG00000000419	Q5QPJ9
ENSG00000000419	Q5QPK0
ENSG00000000419	Q5QPK2
ENSG00000000457	B4E2Y0
ENSG00000000457	Q8IZE3
ENSG00000000460	B4E0A9
ENSG00000000460	Q9NSG2
ENSG00000000938	P09769
ENSG00000000938	P78453
ENSG00000000938	P78483
ENSG00000000938	Q5TGY6
ENSG00000000938	Q7KZ45
ENSG00000000971	C9JYL1
ENSG00000000971	P08603
ENSG00000000971	Q5TFM2
ENSG00000001036	Q7Z6V1
ENSG00000001036	Q7Z6V2
ENSG00000001036	Q9BTY2
ENSG00000001084	B4E2I4
ENSG00000001084	D6R959
ENSG00000001084	D6REX4
ENSG00000001084	D6RGF8
ENSG00000001084	P48506
ENSG00000001084	Q14TF0
ENSG00000001167	P23511
ENSG00000001460	Q5TH74
ENSG00000001460	Q5TH76
ENSG00000001460	Q5TH77
ENSG00000001461	A2A298
ENSG00000001461	A6NN97
ENSG00000001461	Q6P499
ENSG00000001461	Q7Z354
ENSG00000001497	A9X410
ENSG00000001497	B3KNR6
ENSG00000001497	B3KUJ7
ENSG00000001497	B7Z381
ENSG00000001497	Q9Y4W2
ENSG00000001561	Q9Y6X5
ENSG00000001617	C9IYS6
ENSG00000001617	C9J1V2
ENSG00000001617	C9J4H5
ENSG00000001617	C9JPG5
ENSG00000001617	C9JQ85
ENSG00000001617	Q13275
ENSG00000001626	A4L9V0
ENSG00000001626	C9J6L5
ENSG00000001626	P13569
ENSG00000001626	Q5I6F9
ENSG00000001626	Q5I6N4
ENSG00000001626	Q5I6N5
ENSG00000001626	Q5I6N6
ENSG00000001626	Q5I6N7
ENSG00000001626	Q6KE95
ENSG00000001626	Q6KEA0
ENSG00000001626	Q6KEA5
ENSG00000001626	Q6KEB2
ENSG00000001626	Q6KEB8
ENSG00000001626	Q6KEC3
ENSG00000001626	Q6KEC8
ENSG00000001626	Q6KED3
ENSG00000001626	Q6KED8
ENSG00000001626	Q6KEE3
ENSG00000001626	Q6KEE7
ENSG00000001626	Q6KEF5
ENSG00000001626	Q6KEF9
ENSG00000001626	Q6KEG3
ENSG00000001626	Q6KEG6
ENSG00000001626	Q6KEG9
ENSG00000001626	Q6KEH3
ENSG00000001626	Q6KEH6
ENSG00000001626	Q6KEH8
ENSG00000001626	Q6KEI2
ENSG00000001626	Q6KEI7
ENSG00000001626	Q6KEI8
ENSG00000001626	Q6KEJ1
ENSG00000001626	Q6KEJ4
ENSG00000001626	Q6KEJ7
ENSG00000001626	Q99989
ENSG00000001626	Q9UJ19
ENSG00000001626	Q9UML7
ENSG00000001629	C9JZ63
ENSG00000001629	Q4VBX8
ENSG00000001629	Q9P2G1
ENSG00000001630	C9IYR8
ENSG00000001630	Q16850
ENSG00000001631	A4D1F7
ENSG00000001631	A6NNU0
ENSG00000001631	C9J3W7
ENSG00000001631	C9J684
ENSG00000001631	C9J718
ENSG00000001631	C9JBN7
ENSG00000001631	C9JD81
ENSG00000001631	C9JEW7
ENSG00000001631	C9JF32
ENSG00000001631	C9JI47
ENSG00000001631	C9JIY2
ENSG00000001631	C9JJM9
ENSG00000001631	C9JSG7
ENSG00000001631	C9JXI9
ENSG00000001631	O00522
ENSG00000002016	D3DUP4
ENSG00000002016	P43351
ENSG00000002016	Q3MI84
ENSG00000002016	Q5DR82
ENSG00000002016	Q9UHE1
ENSG00000002016	Q9UHE2
ENSG00000002016	Q9UHE3
ENSG00000002016	Q9UHE4
ENSG00000002016	Q9Y5T7
ENSG00000002016	Q9Y5T8
ENSG00000002016	Q9Y5T9
ENSG00000002330	A8MXU7
ENSG00000002330	Q6FH21
ENSG00000002330	Q92934
ENSG00000002549	P28838
ENSG00000002586	A6NGF6
ENSG00000002586	A6NIW1
ENSG00000002586	A6NJT9
ENSG00000002586	A8MQT7
ENSG00000002586	P14209
ENSG00000002587	O14792
ENSG00000002587	Q05CH3
ENSG00000002726	C9J0G8
ENSG00000002726	C9J2J4
ENSG00000002726	C9J690
ENSG00000002726	P19801
ENSG00000002745	Q9UBV4
ENSG00000002746	A4D1V5
ENSG00000002746	B4DH42
ENSG00000002746	Q76N89
ENSG00000002822	B3KR41
ENSG00000002822	C9J9H5
ENSG00000002822	C9JIR0
ENSG00000002822	C9JJ38
ENSG00000002822	C9JKI7
ENSG00000002822	C9JP81
ENSG00000002822	C9JPS1
ENSG00000002822	C9JTA2
ENSG00000002822	C9JX80
ENSG00000002822	C9K086
ENSG00000002822	Q9Y6D9
ENSG00000002834	B4DGQ0
ENSG00000002834	B4DIC4
ENSG00000002834	C9J9W2
ENSG00000002834	Q14847
ENSG00000002919	B4DJI7
ENSG00000002919	B4DKH7
ENSG00000002919	Q9Y5W9
ENSG00000002933	C9JJ63
ENSG00000002933	C9JRT9
ENSG00000002933	Q96HP8
ENSG00000003056	P20645
ENSG00000003056	Q96AH2
ENSG00000003096	C9JTS9
ENSG00000003096	Q96HC9
ENSG00000003096	Q9P2N7
ENSG00000003137	B7Z2K6
ENSG00000003137	B7Z3B8
ENSG00000003137	E5RHM2
ENSG00000003137	E5RHN4
ENSG00000003137	Q9NR63
ENSG00000003147	B3FTQ2
ENSG00000003147	B9ZVM7
ENSG00000003147	C9IZC7
ENSG00000003147	C9J3Y4
ENSG00000003147	C9J8Y3
ENSG00000003147	Q05084
ENSG00000003147	Q6LCR0
ENSG00000003147	Q6LCT9
ENSG00000003147	Q96HG3
ENSG00000003147	Q9UDQ6
ENSG00000003249	D3DX86
ENSG00000003249	Q9H9R9
ENSG00000003393	A8K4R4
ENSG00000003393	B3KPJ0
ENSG00000003393	Q96Q42
ENSG00000003400	B4E3T5
ENSG00000003400	Q68HC0
ENSG00000003400	Q92851
ENSG00000003402	B4DJE0
ENSG00000003402	C9J408
ENSG00000003402	C9J4Q0
ENSG00000003402	C9JK38
ENSG00000003402	C9JSU3
ENSG00000003402	C9JV51
ENSG00000003402	O15519
ENSG00000003402	Q59F61
ENSG00000003436	C9J103
ENSG00000003436	C9JBB3
ENSG00000003436	C9JKV3
ENSG00000003436	C9JP39
ENSG00000003436	C9JQ14
ENSG00000003436	C9JT76
ENSG00000003436	P10646
ENSG00000003509	B4E0W7
ENSG00000003509	C9J236
ENSG00000003509	C9JEL7
ENSG00000003509	C9JP36
ENSG00000003509	C9JS27
ENSG00000003509	Q7L592
ENSG00000003756	C9J9P7
ENSG00000003756	C9JFQ5
ENSG00000003756	C9JR02
ENSG00000003756	E1CJT4
ENSG00000003756	E2QRJ7
ENSG00000003756	P52756
ENSG00000003756	Q59HE6
ENSG00000003987	B4E1B6
ENSG00000003987	B4E1E5
ENSG00000003987	E5RK11
ENSG00000003987	Q9Y216
ENSG00000003989	P52569
ENSG00000004059	A4D0Z3
ENSG00000004059	C9J1Z8
ENSG00000004059	P84085
ENSG00000004139	Q6SZW1
ENSG00000004399	D6RH25
ENSG00000004399	Q6P657
ENSG00000004399	Q9Y4D7
ENSG00000004455	P54819
ENSG00000004468	B4DMR7
ENSG00000004468	P28907
ENSG00000004468	Q4FCX6
ENSG00000004478	Q02790
ENSG00000004487	O60341
ENSG00000004534	B4DNY1
ENSG00000004534	B4E0G6
ENSG00000004534	C9J250
ENSG00000004534	C9JHR3
ENSG00000004534	C9JII0
ENSG00000004534	C9JMC8
ENSG00000004534	C9JSL1
ENSG00000004534	P78332
ENSG00000004534	Q86SS3
ENSG00000004660	C9JDG4
ENSG00000004660	Q8N5S9
ENSG00000004700	P46063
ENSG00000004766	A7MD03
ENSG00000004766	B4DS55
ENSG00000004766	C9JA29
ENSG00000004766	D1MQ00
ENSG00000004766	Q5JPD9
ENSG00000004766	Q75N11
ENSG00000004766	Q75N12
ENSG00000004766	Q96JG6
ENSG00000004776	O14558
ENSG00000004777	O14559
ENSG00000004779	A4UCS2
ENSG00000004779	A4UCS3
ENSG00000004779	O14561
ENSG00000004799	A4D1H4
ENSG00000004799	B3KU25
ENSG00000004799	B3KUX1
ENSG00000004799	Q16654
ENSG00000004809	B4E330
ENSG00000004809	C9JGT0
ENSG00000004809	C9JTF8
ENSG00000004809	C9JU94
ENSG00000004809	Q86VW1
ENSG00000004809	Q96ER0
ENSG00000004838	C9JUQ8
ENSG00000004838	O75800
ENSG00000004846	B5MD19
ENSG00000004846	Q2M3G0
ENSG00000004848	Q96QS3
ENSG00000004864	Q546F9
ENSG00000004864	Q75KX8
ENSG00000004864	Q9UJS0
ENSG00000004866	B7Z4L1
ENSG00000004866	B7Z4U3
ENSG00000004866	C9J2Z1
ENSG00000004866	C9JCI7
ENSG00000004866	C9JRQ0
ENSG00000004866	C9JRW1
ENSG00000004866	C9JU30
ENSG00000004866	C9JWK8
ENSG00000004866	C9JX79
ENSG00000004866	C9JZV9
ENSG00000004866	Q75MZ7
ENSG00000004866	Q9NRC0
ENSG00000004866	Q9NRC1
ENSG00000004897	B4DL80
ENSG00000004897	P30260
ENSG00000004939	E2J824
ENSG00000004939	E2RVJ0
ENSG00000004939	P02730
ENSG00000004939	P78488
ENSG00000004939	Q6LDU9
ENSG00000004948	A4D1G6
ENSG00000004948	D8MIV0
ENSG00000004948	P30988
ENSG00000004948	Q5ZGL8
ENSG00000004948	Q659U6
ENSG00000004961	P53701
ENSG00000004975	B4E2D6
ENSG00000004975	O14641
ENSG00000005001	Q9GZN4
ENSG00000005007	B3KY55
ENSG00000005007	Q92900
ENSG00000005020	A4D173
ENSG00000005020	B7Z5N4
ENSG00000005020	B7Z5R3
ENSG00000005020	C9JQ17
ENSG00000005020	O75563
ENSG00000005022	P05141
