ID	SystemCode	MAPP
ENSG00000188822	En	Small Ligand GPCRs:WP247
ENSG00000198121	En	Small Ligand GPCRs:WP247
ENSG00000160013	En	Small Ligand GPCRs:WP247
ENSG00000213694	En	Small Ligand GPCRs:WP247
ENSG00000118432	En	Small Ligand GPCRs:WP247
ENSG00000134640	En	Small Ligand GPCRs:WP247
ENSG00000175898	En	Small Ligand GPCRs:WP247
ENSG00000160951	En	Small Ligand GPCRs:WP247
ENSG00000170989	En	Small Ligand GPCRs:WP247
ENSG00000006638	En	Small Ligand GPCRs:WP247
ENSG00000168412	En	Small Ligand GPCRs:WP247
ENSG00000168229	En	Small Ligand GPCRs:WP247
ENSG00000125384	En	Small Ligand GPCRs:WP247
ENSG00000171522	En	Small Ligand GPCRs:WP247
ENSG00000169403	En	Small Ligand GPCRs:WP247
ENSG00000122420	En	Small Ligand GPCRs:WP247
ENSG00000125910	En	Small Ligand GPCRs:WP247
ENSG00000050628	En	Small Ligand GPCRs:WP247
ENSG00000131203	En	Tryptophan metabolism:WP465
ENSG00000153086	En	Tryptophan metabolism:WP465
ENSG00000196433	En	Tryptophan metabolism:WP465
ENSG00000130649	En	Tryptophan metabolism:WP465
ENSG00000072210	En	Tryptophan metabolism:WP465
ENSG00000002726	En	Tryptophan metabolism:WP465
ENSG00000075239	En	Tryptophan metabolism:WP465
ENSG00000138061	En	Tryptophan metabolism:WP465
ENSG00000115919	En	Tryptophan metabolism:WP465
ENSG00000127884	En	Tryptophan metabolism:WP465
ENSG00000151790	En	Tryptophan metabolism:WP465
ENSG00000072506	En	Tryptophan metabolism:WP465
ENSG00000172817	En	Tryptophan metabolism:WP465
ENSG00000183077	En	Tryptophan metabolism:WP465
ENSG00000160868	En	Tryptophan metabolism:WP465
ENSG00000197446	En	Tryptophan metabolism:WP465
ENSG00000121691	En	Tryptophan metabolism:WP465
ENSG00000138796	En	Tryptophan metabolism:WP465
ENSG00000111275	En	Tryptophan metabolism:WP465
ENSG00000104517	En	Tryptophan metabolism:WP465
ENSG00000165092	En	Tryptophan metabolism:WP465
