Ensembl ID	RFAM ID
ENSG00000194270	RF00019
ENSG00000194297	RF00003
ENSG00000194647	RF00003
ENSG00000195024	RF00003
ENSG00000195401	RF00019
ENSG00000199196	RF00402
ENSG00000199197	RF00100
ENSG00000199200	RF00019
ENSG00000199201	RF00019
ENSG00000199202	RF00001
ENSG00000199203	RF00019
ENSG00000199204	RF00019
ENSG00000199212	RF00045
ENSG00000199214	RF00019
ENSG00000199217	RF00026
ENSG00000199218	RF00100
ENSG00000199219	RF00026
ENSG00000199220	RF00019
ENSG00000199222	RF00019
ENSG00000199223	RF00019
ENSG00000199224	RF00019
ENSG00000199226	RF00026
ENSG00000199231	RF00494
ENSG00000199235	RF00026
ENSG00000199237	RF00026
ENSG00000199240	RF00001
ENSG00000199241	RF00019
ENSG00000199245	RF00019
ENSG00000199246	RF00026
ENSG00000199248	RF00026
ENSG00000199251	RF00026
ENSG00000199260	RF00026
ENSG00000199262	RF00341
ENSG00000199263	RF00019
ENSG00000199266	RF00056
ENSG00000199270	RF00001
ENSG00000199272	RF00026
ENSG00000199273	RF00019
ENSG00000199276	RF00001
ENSG00000199279	RF00026
ENSG00000199282	RF00411
ENSG00000199283	RF00003
ENSG00000199285	RF00019
ENSG00000199286	RF00026
ENSG00000199287	RF00019
ENSG00000199289	RF00026
ENSG00000199290	RF00019
ENSG00000199291	RF00019
ENSG00000199293	RF00412
ENSG00000199295	RF00026
ENSG00000199298	RF00012
ENSG00000199299	RF00001
ENSG00000199301	RF00026
ENSG00000199303	RF00019
ENSG00000199306	RF00026
ENSG00000199308	RF00026
ENSG00000199311	RF00105
ENSG00000199313	RF00015
ENSG00000199315	RF00001
ENSG00000199318	RF00001
ENSG00000199319	RF00100
ENSG00000199321	RF00271
ENSG00000199322	RF00001
ENSG00000199325	RF00015
ENSG00000199326	RF00026
ENSG00000199327	RF00026
ENSG00000199331	RF00019
ENSG00000199332	RF00019
ENSG00000199334	RF00001
ENSG00000199335	RF00026
ENSG00000199337	RF00001
ENSG00000199347	RF00020
ENSG00000199348	RF00026
