ID	Symbol	Name	Species	Date	Remarks
378465	HSN2	hereditary sensory neuropathy, type II	Hs	06/30/2011	
5988	RFPL1	ret finger protein-like 1	Hs	06/30/2011	
5989	RFX1	regulatory factor X, 1 (influences HLA class II expression)	Hs	06/30/2011	
146547	PRSS36	protease, serine, 36	Hs	06/30/2011	
5982	RFC2	replication factor C (activator 1) 2, 40kDa	Hs	06/30/2011	
5983	RFC3	replication factor C (activator 1) 3, 38kDa	Hs	06/30/2011	
5980	REV3L	REV3-like, catalytic subunit of DNA polymerase zeta (yeast)	Hs	06/30/2011	
5981	RFC1	replication factor C (activator 1) 1, 145kDa	Hs	06/30/2011	
5986	RFNG	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	Hs	06/30/2011	
5987	TRIM27	tripartite motif-containing 27	Hs	06/30/2011	
5984	RFC4	replication factor C (activator 1) 4, 37kDa	Hs	06/30/2011	
5985	RFC5	replication factor C (activator 1) 5, 36.5kDa	Hs	06/30/2011	
83897	KRTAP3-2	keratin associated protein 3-2	Hs	06/30/2011	
83895	KRTAP1-5	keratin associated protein 1-5	Hs	06/30/2011	
260293	CYP4X1	cytochrome P450, family 4, subfamily X, polypeptide 1	Hs	06/30/2011	
270	AMPD1	adenosine monophosphate deaminase 1 (isoform M)	Hs	06/30/2011	
271	AMPD2	adenosine monophosphate deaminase 2 (isoform L)	Hs	06/30/2011	
272	AMPD3	adenosine monophosphate deaminase (isoform E)	Hs	06/30/2011	
273	AMPH	amphiphysin	Hs	06/30/2011	
274	BIN1	bridging integrator 1	Hs	06/30/2011	
275	AMT	aminomethyltransferase	Hs	06/30/2011	
276	AMY1A	amylase, alpha 1A (salivary)	Hs	06/30/2011	
277	AMY1B	amylase, alpha 1B (salivary)	Hs	06/30/2011	
278	AMY1C	amylase, alpha 1C (salivary)	Hs	06/30/2011	
279	AMY2A	amylase, alpha 2A (pancreatic)	Hs	06/30/2011	
153770	PLAC8L1	PLAC8-like 1	Hs	06/30/2011	
63027	SLC22A23	solute carrier family 22, member 23	Hs	06/30/2011	
9258	MFHAS1	malignant fibrous histiocytoma amplified sequence 1	Hs	06/30/2011	
9256	BZRAP1	benzodiazapine receptor (peripheral) associated protein 1	Hs	06/30/2011	
9254	CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	Hs	06/30/2011	
9255	SCYE1	Small inducible cytokine subfamily E, member 1 (endothelial monocyte-activating)	Hs	06/30/2011	
9252	RPS6KA5	ribosomal protein S6 kinase, 90kDa, polypeptide 5	Hs	06/30/2011	
9253	NUMBL	numb homolog (Drosophila)-like	Hs	06/30/2011	
124359	CDYL2	chromodomain protein, Y-like 2	Hs	06/30/2011	
80271	ITPKC	inositol 1,4,5-trisphosphate 3-kinase C	Hs	06/30/2011	
387856	C12orf68	chromosome 12 open reading frame 68	Hs	06/30/2011	
90313	TP53I13	Tumor protein p53 inducible protein 13	Hs	06/30/2011	
90316	TGIF2LX	TGFB-induced factor homeobox 2-like, X-linked	Hs	06/30/2011	
90317	ZNF616	zinc finger protein 616	Hs	06/30/2011	
112950	MED8	mediator complex subunit 8	Hs	06/30/2011	
100134095	LOC100134095	hypothetical protein LOC100134095	Hs	06/30/2011	
256297	PTF1A	pancreas specific transcription factor, 1a	Hs	06/30/2011	
100134091	LOC100134091	hypothetical protein LOC100134091	Hs	06/30/2011	
285154	C2orf58	chromosome 2 open reading frame 58	Hs	06/30/2011	
285150	FLJ33534	hypothetical LOC285150	Hs	06/30/2011	
152877	FAM53A	Family with sequence similarity 53, member A	Hs	06/30/2011	
256126	SYCE2	synaptonemal complex central element protein 2	Hs	06/30/2011	
100132678	RPL7AP45	ribosomal protein L7a pseudogene 45	Hs	06/30/2011	
651721	LOC651721	hypothetical protein LOC651721	Hs	06/30/2011	
29765	TMOD4	tropomodulin 4 (muscle)	Hs	06/30/2011	
29767	TMOD2	tropomodulin 2 (neuronal)	Hs	06/30/2011	
29766	TMOD3	tropomodulin 3 (ubiquitous)	Hs	06/30/2011	
29761	USP25	ubiquitin specific peptidase 25	Hs	06/30/2011	
29760	BLNK	B-cell linker	Hs	06/30/2011	
29763	PACSIN3	protein kinase C and casein kinase substrate in neurons 3	Hs	06/30/2011	
1176	AP3S1	adaptor-related protein complex 3, sigma 1 subunit	Hs	06/30/2011	
1175	AP2S1	adaptor-related protein complex 2, sigma 1 subunit	Hs	06/30/2011	
1174	AP1S1	adaptor-related protein complex 1, sigma 1 subunit	Hs	06/30/2011	
1173	AP2M1	adaptor-related protein complex 2, mu 1 subunit	Hs	06/30/2011	
23509	POFUT1	protein O-fucosyltransferase 1	Hs	06/30/2011	
23508	TTC9	tetratricopeptide repeat domain 9	Hs	06/30/2011	
23507	LRRC8B	leucine rich repeat containing 8 family, member B	Hs	06/30/2011	
23506	KIAA0240	KIAA0240	Hs	06/30/2011	
23505	TMEM131	transmembrane protein 131	Hs	06/30/2011	
23504	RIMBP2	RIMS binding protein 2	Hs	06/30/2011	
23503	ZFYVE26	zinc finger, FYVE domain containing 26	Hs	06/30/2011	
100131914	LOC100131914	hypothetical protein LOC100131914	Hs	06/30/2011	
1179	CLCA1	chloride channel accessory 1	Hs	06/30/2011	
1178	CLC	Charcot-Leyden crystal protein	Hs	06/30/2011	
120126	UBTFL2	upstream binding transcription factor, RNA polymerase I-like 2	Hs	06/30/2011	
169026	SLC30A8	solute carrier family 30 (zinc transporter), member 8	Hs	06/30/2011	
388677	NOTCH2NL	Notch homolog 2 (Drosophila) N-terminal like	Hs	06/30/2011	
622	BDH1	3-hydroxybutyrate dehydrogenase, type 1	Hs	06/30/2011	
729974	LOC729974	similar to Ret finger protein-like 4A (RING finger protein 210)	Hs	06/30/2011	
2966	GTF2H2	general transcription factor IIH, polypeptide 2, 44kDa	Hs	06/30/2011	
283651	C15orf21	chromosome 15 open reading frame 21	Hs	06/30/2011	
283652	SLC24A5	solute carrier family 24, member 5	Hs	06/30/2011	
8549	LGR5	leucine-rich repeat-containing G protein-coupled receptor 5	Hs	06/30/2011	
8548	BLZF1	basic leucine zipper nuclear factor 1	Hs	06/30/2011	
8545	CGGBP1	CGG triplet repeat binding protein 1	Hs	06/30/2011	
8544	PIR	pirin (iron-binding nuclear protein)	Hs	06/30/2011	
8547	FCN3	ficolin (collagen/fibrinogen domain containing) 3 (Hakata antigen)	Hs	06/30/2011	
8546	AP3B1	adaptor-related protein complex 3, beta 1 subunit	Hs	06/30/2011	
8541	PPFIA3	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3	Hs	06/30/2011	
8540	AGPS	alkylglycerone phosphate synthase	Hs	06/30/2011	
8543	LMO4	LIM domain only 4	Hs	06/30/2011	
8542	APOL1	apolipoprotein L, 1	Hs	06/30/2011	
729971	LOC729971	hypothetical LOC729971	Hs	06/30/2011	
145438	C14orf82	chromosome 14 open reading frame 82	Hs	06/30/2011	
727918	LOC727918	hypothetical LOC727918	Hs	06/30/2011	
283460	C12orf27	chromosome 12 open reading frame 27	Hs	06/30/2011	
