Ensembl ID	ENS_LRG_gene ID
ENSG00000000971	LRG_47
ENSG00000000971	LRG_47_t1
ENSG00000003400	LRG_33
ENSG00000003400	LRG_33_t1
ENSG00000004455	LRG_133
ENSG00000005381	LRG_84
ENSG00000005381	LRG_84_t1
ENSG00000007312	LRG_43
ENSG00000007312	LRG_43_t1
ENSG00000010671	LRG_128
ENSG00000010671	LRG_128_t1
ENSG00000015285	LRG_125
ENSG00000015285	LRG_125_t1
ENSG00000018625	LRG_6
ENSG00000020922	LRG_85
ENSG00000020922	LRG_85_t1
ENSG00000021852	LRG_31
ENSG00000021852	LRG_31_t1
ENSG00000026103	LRG_134
ENSG00000027697	LRG_66
ENSG00000027697	LRG_66_t1
ENSG00000039537	LRG_29
ENSG00000039537	LRG_29_t1
ENSG00000049768	LRG_62
ENSG00000049768	LRG_62_t1
ENSG00000051523	LRG_52
ENSG00000051523	LRG_52_t1
ENSG00000064012	LRG_34
ENSG00000064012	LRG_34_t1
ENSG00000064012	LRG_34_t2
ENSG00000064490	LRG_102
ENSG00000064490	LRG_102_t1
ENSG00000067182	LRG_193
ENSG00000067182	LRG_193_t1
ENSG00000068831	LRG_100
ENSG00000068831	LRG_100_t1
ENSG00000069974	LRG_96
ENSG00000069974	LRG_96_t1
ENSG00000073009	LRG_70
ENSG00000073009	LRG_70_t1
ENSG00000075624	LRG_132
ENSG00000075624	LRG_132_t1
ENSG00000076248	LRG_124
ENSG00000076351	LRG_183
ENSG00000076351	LRG_183_t1
ENSG00000076944	LRG_165
ENSG00000076944	LRG_165_t1
ENSG00000085063	LRG_41
ENSG00000085063	LRG_41_t1
ENSG00000088305	LRG_56
ENSG00000088305	LRG_56_t1
ENSG00000092067	LRG_45
ENSG00000092067	LRG_45_t1
ENSG00000092929	LRG_122
ENSG00000092929	LRG_122_t1
ENSG00000095585	LRG_21
ENSG00000095585	LRG_21_t1
ENSG00000100342	LRG_169
ENSG00000100342	LRG_169_t1
ENSG00000100365	LRG_159
ENSG00000100365	LRG_159_t1
ENSG00000100906	LRG_89
ENSG00000100906	LRG_89_t1
ENSG00000101017	LRG_40
ENSG00000101017	LRG_40_t1
ENSG00000101577	LRG_174
ENSG00000101577	LRG_174_t1
ENSG00000102125	LRG_131
ENSG00000102125	LRG_131_t1
ENSG00000102245	LRG_141
ENSG00000102245	LRG_141_t1
ENSG00000102879	LRG_195
ENSG00000103313	LRG_190
