Ensembl ID	Codelink ID
ENSG00000000003	GE54383
ENSG00000000003	PH_hs_0022118
ENSG00000000005	GE79931
ENSG00000000005	PH_hs_0007981
ENSG00000000419	GE56109
ENSG00000000419	PH_hs_0000522
ENSG00000000457	GE88298
ENSG00000000457	PH_hs_0025415
ENSG00000000457	PH_hs_0035986
ENSG00000000460	GE82320
ENSG00000000460	PH_hs_0021261
ENSG00000000938	GE79451
ENSG00000000938	PH_hs_0000190
ENSG00000000971	GE61567
ENSG00000000971	PH_hs_0014288
ENSG00000000971	PH_hs_0044732
ENSG00000001036	GE56083
ENSG00000001036	PH_hs_0028786
ENSG00000001084	GE549555
ENSG00000001084	GE58133
ENSG00000001084	PH_hs_0042291
ENSG00000001167	GE81165
ENSG00000001167	GE88238
ENSG00000001167	PH_hs_0021986
ENSG00000001167	PH_hs_0048467
ENSG00000001460	GE56086
ENSG00000001460	PH_hs_0024654
ENSG00000001460	PH_hs_0033134
ENSG00000001461	GE557804
ENSG00000001461	GE59555
ENSG00000001461	GE86498
ENSG00000001461	GE86623
ENSG00000001461	GE900211
ENSG00000001461	PH_hs_0024505
ENSG00000001461	PH_hs_0048561
ENSG00000001497	GE84548
ENSG00000001497	GE86549
ENSG00000001497	PH_hs_0017294
ENSG00000001561	GE58605
ENSG00000001561	PH_hs_0003555
ENSG00000001561	PH_hs_0040712
ENSG00000001617	GE59122
ENSG00000001617	GE81359
ENSG00000001617	PH_hs_0002778
ENSG00000001626	GE62403
ENSG00000001626	PH_hs_0024884
ENSG00000001629	GE476367
ENSG00000001629	GE56690
ENSG00000001629	PH_hs_0035480
ENSG00000001629	PH_hs_0049089
ENSG00000001630	GE523206
ENSG00000001630	GE61171
ENSG00000001630	PH_hs_0033255
ENSG00000001631	GE59535
ENSG00000001631	PH_hs_0030257
ENSG00000001631	PH_hs_0047513
ENSG00000002016	GE58929
ENSG00000002016	GE83916
ENSG00000002016	PH_hs_0022642
ENSG00000002079	GE473889
ENSG00000002079	GE567063
ENSG00000002079	PH_hs_0036407
ENSG00000002330	GE61740
ENSG00000002330	PH_hs_0004408
ENSG00000002549	GE61683
ENSG00000002549	GE84802
ENSG00000002586	GE61166
ENSG00000002586	PH_hs_0027345
ENSG00000002586	PH_hs_0036089
ENSG00000002587	GE492128
ENSG00000002587	GE54153
ENSG00000002587	GE578039
ENSG00000002587	PH_hs_0031178
ENSG00000002726	GE58928
ENSG00000002726	PH_hs_0025599
ENSG00000002745	GE84020
ENSG00000002745	PH_hs_0028059
ENSG00000002746	GE53056
ENSG00000002746	GE535174
ENSG00000002746	PH_hs_0041193
ENSG00000002822	GE81301
ENSG00000002822	GE85301
ENSG00000002822	PH_hs_0000759
ENSG00000002834	GE61003
ENSG00000002834	PH_hs_0016486
ENSG00000002919	GE58519
ENSG00000002919	PH_hs_0001463
ENSG00000002933	GE52972
ENSG00000002933	PH_hs_0001143
ENSG00000003056	GE59814
ENSG00000003056	PH_hs_0027247
ENSG00000003096	GE53897
ENSG00000003096	GE84010
ENSG00000003096	PH_hs_0016767
ENSG00000003096	PH_hs_0046216
ENSG00000003137	GE61521
ENSG00000003137	PH_hs_0005084
ENSG00000003147	GE62372
ENSG00000003147	GE847809
ENSG00000003147	PH_hs_0024318
ENSG00000003249	GE82770
ENSG00000003249	PH_hs_0015535
ENSG00000003393	GE541424
ENSG00000003393	GE79204
ENSG00000003393	GE872874
ENSG00000003393	PH_hs_0002446
ENSG00000003393	PH_hs_0046136
ENSG00000003400	GE83594
ENSG00000003400	PH_hs_0000550
ENSG00000003400	PH_hs_0045613
ENSG00000003400	PH_hs_0048031
ENSG00000003402	GE61439
ENSG00000003402	GE63187
ENSG00000003402	GE752934
ENSG00000003402	PH_hs_0023979
ENSG00000003402	PH_hs_0045636
ENSG00000003436	GE60512
ENSG00000003436	PH_hs_0022250
ENSG00000003436	PH_hs_0045020
ENSG00000003509	GE63145
ENSG00000003509	PH_hs_0020124
ENSG00000003756	GE61282
ENSG00000003756	PH_hs_0025747
ENSG00000003987	GE746013
ENSG00000003987	PH_hs_0040086
ENSG00000003987	PH_hs_0049091
ENSG00000003989	GE81227
ENSG00000003989	GE87469
ENSG00000003989	PH_hs_0025260
ENSG00000003989	PH_hs_0048979
ENSG00000004059	GE79090
ENSG00000004059	PH_hs_0019930
ENSG00000004059	PH_hs_0035952
ENSG00000004139	GE53255
ENSG00000004139	GE85199
ENSG00000004139	PH_hs_0022674
ENSG00000004142	GE61413
ENSG00000004142	PH_hs_0012951
ENSG00000004399	GE53337
ENSG00000004399	PH_hs_0015557
ENSG00000004455	GE504510
ENSG00000004455	GE61191
ENSG00000004455	GE63071
ENSG00000004455	PH_hs_0015286
ENSG00000004455	PH_hs_0045021
ENSG00000004468	GE57346
ENSG00000004468	PH_hs_0022850
ENSG00000004478	GE58127
ENSG00000004478	GE82381
ENSG00000004478	PH_hs_0000103
ENSG00000004478	PH_hs_0048881
ENSG00000004487	GE56085
